Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Birchall, Grant",-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,1,2,1,2,-,-,-,2,-,2,13.0
"Breust, Luke",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,1,-,5.0
"Burgoyne, Shaun",-,1,-,1,-,1,2,-,-,-,-,-,-,-,2,-,-,-,-,-,1,1,9,2,-,20.0
"Ceglar, Jonathon",,,-,-,,,,,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,,
"Cheney, Kyle",-,-,-,-,-,,,-,,-,-,-,,,,,,,,,,,,,,
"Dewar, Angus",,-,-,,,,3,,,-,1,-,1,2,2,1,-,1,,,,1,,,,12.0
"Duryea, Taylor",-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,,1,1,-,,-,-,-,5,9.0
"Gibson, Josh",-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Gunston, Jack",-,-,-,-,-,-,-,-,-,1,-,,-,-,-,-,-,-,,-,-,-,-,-,-,1.0
"Hale, David",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,-,-,-,-,-,-,-,-,
"Hallahan, Mitch",,,,,-,1,-,-,-,-,,,,,,,,,,,,,,,,1.0
"Hartung, Billy",,,,,,,1,-,-,-,-,,,,,,,,-,,,-,,,,1.0
"Hill, Bradley",-,-,-,2,2,3,3,1,1,1,3,-,-,-,,,-,2,-,3,3,,1,-,7,32.0
"Hodge, Luke",-,-,,-,-,-,-,,-,-,1,-,-,-,-,-,-,-,4,-,-,,-,-,-,5.0
"Lake, Brian",,,,,,-,-,,,,,,-,-,-,,,,,1,-,-,-,-,-,1.0
"Langford, Will",-,-,-,-,-,-,,-,1,-,,,,,,-,-,1,1,-,-,-,-,-,-,3.0
"Lewis, Jordan",-,-,-,-,-,-,-,-,-,,-,-,-,-,3,-,-,-,1,-,-,-,-,-,-,4.0
"Lowden, Luke",,,,,,,,,,,-,,,,,,,,,,,,,,,
"McEvoy, Ben",-,-,,,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,,-,
"Mitchell, Sam",1,,1,1,3,2,-,,,,,,,,1,-,-,,1,-,-,-,1,-,1,12.0
"OBrien, Tim",-,-,,,,,,,,,,-,,,,,,,,-,,,,,,
"Puopolo, Paul",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rioli, Cyril",,2,4,-,-,2,1,4,,,-,1,3,-,,,,,,,,,,,-,17.0
"Ross, Ben",,,,,,,,,,,,-,-,,-,-,,,,,,,,,,
"Roughead, Jarryd",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,1,-,1.0
"Schoenmakers, Ryan",,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,
"Sewell, Brad",,,,,,,,,-,-,-,-,-,-,-,,,,,,-,-,-,,,
"Shiels, Liam",-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,3,2,-,2,-,1,-,1,9.0
"Simpkin, Jonathan",-,-,-,-,-,-,,-,-,-,,,,,,-,-,-,-,-,-,1,-,-,,1.0
"Smith, Isaac",3,9,-,3,3,4,3,-,2,-,8,3,7,1,1,3,1,,2,1,3,-,2,4,2,65.0
"Spangher, Matthew",,,-,-,,,,,,,-,-,-,-,-,-,,-,-,,-,-,-,-,-,
"Stratton, Ben",,,,,-,-,,-,-,,,,,-,-,-,3,1,5,-,2,,-,-,-,11.0
"Suckling, Matt",2,6,-,2,1,7,4,-,1,-,1,5,-,-,1,1,1,4,4,-,-,,,-,2,42.0
"Wanganeen, Derick",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Woodward, Alex",,,,,,,,,,,,,,,,,-,-,,,,,,,,
Totals,6,18,6,10,10,20,17,5,6,3,14,9,12,3,10,6,7,15,23,7,11,3,16,8,20,265.0
Opponent,BL,ES,FR,GC,GE,RI,SK,SY,PA,GW,WC,CA,CW,GC,NM,AD,SY,WB,ME,FR,GE,CW,GE,PA,SY,
