Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Ballantyne, Hayden",-,,2,1,2,4,1,1,-,2,3,3,1,-,1,,,3,2,-,2,,-,2,3,33.0
"Barlow, Michael",1,1,1,-,-,1,1,-,-,2,-,1,,1,2,-,1,1,-,2,1,-,1,-,-,17.0
"Bradley, Kepler",1,1,-,1,1,,,,,,,,,,,,,,,,,,,,,4.0
"Clarke, Zac",,,,,,,,1,1,1,4,2,1,-,1,1,1,1,1,1,3,,1,1,-,21.0
"Crichton, Jesse",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Crowley, Ryan",1,-,2,1,1,2,-,-,-,-,-,-,1,-,3,-,1,-,1,2,-,1,1,1,2,20.0
"Crozier, Hayden",,3,,,,1,-,,1,1,-,-,2,,,,,,,,,1,,,,9.0
"Dawson, Zac",-,-,1,-,-,1,1,-,-,-,1,1,2,1,-,-,1,-,-,1,-,,-,-,-,10.0
"Duffield, Paul",-,-,-,-,,-,1,1,1,2,-,-,1,,,1,-,1,-,1,-,-,1,-,-,10.0
"Faulks, Peter",,,,,,,,,,,,,,,,,,,,,,1,,,,1.0
"Forster, Alex",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Fyfe, Nat",1,-,1,4,2,,,2,2,-,2,-,-,-,3,3,-,-,2,2,-,,-,-,1,25.0
"Griffin, Jonathon",-,1,1,1,4,-,-,,,,,,,,,,,,,,,,,,,7.0
"Hannath, Jack",,,,,1,-,1,1,1,-,1,1,-,,,1,,,,,2,-,,,,9.0
"Hill, Stephen",1,-,1,-,-,,,,,1,3,-,-,-,-,-,-,-,,-,-,,-,-,-,6.0
"Ibbotson, Garrick",,,,,1,3,1,-,-,-,-,2,2,-,-,1,-,,,,,,,,,10.0
"Johnson, Michael",-,1,3,1,2,1,-,-,-,-,3,1,2,-,1,1,-,-,1,1,-,,,-,-,18.0
"Mayne, Chris",2,1,1,2,2,1,1,1,-,1,1,2,1,-,2,1,2,-,3,3,2,,2,1,1,33.0
"McPharlin, Luke",1,1,-,,-,-,-,1,-,-,-,-,1,1,,,,,,,,,-,-,-,5.0
"Mellington, Josh",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Michie, Viv",,,,,,,,,,,,,1,,,,,,,,,,,,,1.0
"Moller, Craig",,,,,,,,,,,,,,,,,,,,,,2,,,,2.0
"Mundy, David",1,1,2,-,1,-,1,1,3,1,1,,,1,2,-,1,1,-,-,1,,1,-,1,20.0
"Mzungu, Tendai",-,1,1,1,-,1,1,-,1,-,2,2,1,4,2,-,1,-,-,-,-,-,-,1,-,19.0
"Neale, Lachie",,,,1,-,,,,,,,,,,,1,2,-,1,-,-,-,1,-,1,7.0
"Pavlich, Matthew",1,3,1,,,,,,,,,,,1,-,,,,1,1,2,2,3,-,1,16.0
"Pearce, Clancee",-,2,2,2,-,1,-,-,1,1,-,-,-,-,-,1,1,1,,,,-,,,,12.0
"Pearce, Danyle",1,1,3,-,1,-,1,-,-,2,-,1,1,-,1,-,1,-,-,-,2,-,1,-,-,16.0
"Sandilands, Aaron",,,,,,,,,,,,,,1,-,,-,-,-,-,,-,1,1,-,3.0
"Sheridan, Tom",,,,,,,,,,,,,1,-,-,-,,-,-,1,2,1,-,,,5.0
"Silvagni, Alex",,,,,,1,2,-,-,,-,,,,-,1,,,2,-,,1,,,,7.0
"Simpson, Josh",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Smith, Tanner",,,,3,,,,,,,,,,,,,,,,,,,,,,3.0
"Spurr, Lee",2,-,3,1,2,1,1,2,-,-,-,-,,1,-,-,1,-,-,-,-,,1,-,1,16.0
"Suban, Nick",5,1,-,-,3,2,-,-,-,1,-,2,-,2,,,1,1,3,3,1,,3,2,2,32.0
"Sutcliffe, Cam",-,-,-,-,,1,-,1,1,-,,,,,-,-,1,-,-,,-,2,-,1,1,8.0
"Taberner, Matthew",,,,,,,,,,,,-,-,,,,-,,,,,-,,,,
"Walters, Michael",1,-,1,2,2,1,4,1,,,,-,1,1,4,3,1,2,-,1,2,,2,3,-,32.0
"de Boer, Matt",1,1,-,-,1,1,-,1,1,1,-,2,-,-,-,-,1,-,3,2,-,3,-,-,-,18.0
Totals,20,19,26,21,26,23,17,14,13,16,21,20,19,14,22,15,17,11,20,21,20,14,19,13,14,455.0
Opponent,WC,WB,ES,HW,RI,GC,CW,SY,ME,AD,BL,NM,GE,SK,WC,RI,AD,CA,GW,ME,PA,SK,GE,SY,HW,
