Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Bassett, Nathan",-,-,-,-,-,-,2,-,1,1,,,,,,1,-,,-,,,,,,,,5.0
"Bickley, Mark",2,11,7,4,-,4,-,3,7,4,5,3,3,4,6,7,4,3,,,,4,5,-,1,7,94.0
"Bond, Troy",,,,,2,,5,3,-,-,1,,-,1,3,-,,,,,,,,,,,15.0
"Caven, Peter",3,2,-,-,2,-,-,-,1,-,1,,,-,6,1,-,3,1,3,2,4,-,3,4,4,40.0
"Connell, Matthew",2,3,3,2,3,2,5,4,3,4,3,,,,,,3,10,6,8,4,-,4,-,5,-,74.0
"Cook, Sudjai",,,,,,,,,1,-,,3,7,-,2,2,,,,,,,,,,,15.0
"Cook, Tim",,,,,,,,,,,,,,,,,,7,2,1,-,,,,,,10.0
"Downsborough, Ian",,,-,,3,,-,,4,3,2,1,2,,,,,,,,,,,,,,15.0
"Eccles, Andrew",,3,1,2,4,-,1,2,-,1,2,-,-,,,,,5,6,-,-,,,,4,1,32.0
"Edwards, Tyson",-,-,,,,,,,,,,,-,-,-,5,1,,3,2,1,3,-,1,4,2,22.0
"Ellen, Shane",1,1,3,-,2,,,,,2,-,,,2,1,2,,,,1,-,1,3,-,4,1,24.0
"Goodwin, Simon",-,-,-,,,,,,1,3,1,1,1,2,2,2,2,2,2,3,10,6,4,2,5,3,52.0
"Hart, Ben",2,-,1,3,3,-,-,-,1,1,1,1,2,2,3,2,-,4,-,-,4,3,2,2,-,2,39.0
"James, Brett",,,,2,-,3,3,4,2,7,4,4,3,5,4,1,2,1,1,2,-,2,1,-,1,-,52.0
"Jameson, Rod",,,,,3,6,,2,-,-,1,-,,,,,,1,,,,,,5,,,18.0
"Jarman, Darren",2,-,3,4,3,3,1,5,3,1,,,,6,5,3,1,-,3,3,1,3,4,5,3,1,63.0
"Johnson, Kane",,,1,1,3,3,1,2,,,1,2,,,,,4,,,,,-,,,4,5,27.0
"Keating, Aaron",,,,,,3,2,-,,,,,,,,,,,,,,,,,,,5.0
"Koster, Kym",6,4,2,5,2,1,2,1,3,4,3,4,3,4,6,5,3,3,6,4,4,3,4,2,4,-,88.0
"Liptak, Matthew",,,,,,,,,,,,,,,,,,,4,,,,2,,,,6.0
"Marsh, Ben",,,,,,,,,,,,,,3,1,2,1,,2,2,,,-,1,,2,14.0
"McLeod, Andrew",-,6,3,7,5,3,3,3,,,,,3,5,,,,2,2,7,4,5,1,5,3,9,76.0
"Modra, Tony",,,,,,,,,,,,,,,,1,3,-,2,-,2,2,-,,,,10.0
"Ormond-Allen, Trent",1,1,-,1,,-,-,1,,,,-,1,2,2,-,-,,,-,1,,,,,,10.0
"Perrie, Ian",,,,,,,,,,,,,1,,1,,2,,,,,,,,,,4.0
"Picioane, Lance",3,,,1,,2,1,,,,,,,,,,,,,,,,,,,,7.0
"Pittman, David",1,-,1,2,,,,3,-,1,-,1,-,1,,,2,2,,,-,3,,-,5,-,22.0
"Rehn, Shaun",4,3,3,1,4,5,1,2,1,1,3,3,2,3,7,2,3,3,3,1,1,2,4,4,6,4,76.0
"Ricciuto, Mark",1,3,3,5,2,7,8,1,6,,,6,3,13,4,5,9,8,6,6,4,16,5,8,3,1,133.0
"Rintoul, Chad",4,5,4,3,1,6,3,5,,,1,-,,,,,,,,,,,,1,-,,33.0
"Robran, Matthew",,1,,,,,,,1,4,1,7,4,2,2,1,,3,3,4,2,2,3,7,5,6,58.0
"Sampson, Clay",3,-,-,1,6,1,,,2,4,1,1,,,-,1,-,-,,,,,,,,,20.0
"Smart, Nigel",3,7,5,1,2,-,4,4,5,,,1,3,6,1,3,4,4,2,5,3,4,4,2,6,1,80.0
"Stevens, Linden",,,,,,,,,,,,,,,,,,,,,,1,1,,,,2.0
"Stevens, Mark",1,1,-,3,1,,,,,,1,2,2,1,3,3,,3,1,-,1,1,1,1,2,1,29.0
"Thiessen, James",-,9,6,-,3,7,4,2,,2,4,6,5,3,1,3,,3,4,3,5,3,1,5,2,6,87.0
"Tregenza, Simon",6,,,,,,,,7,7,4,7,1,1,-,,-,,,,,,,,,,33.0
"Vardy, Peter",,,,,,5,4,1,3,2,5,7,5,,,,1,2,1,2,3,4,1,4,1,5,56.0
Totals,45,60,46,48,54,61,50,48,52,52,45,60,51,66,60,52,45,69,60,57,52,72,50,58,72,61,1446.0
Opponent,CA,FR,SK,PA,GE,NM,WC,RI,BL,ME,WB,ES,CW,SY,HW,CA,FR,SK,PA,GE,NM,WC,ME,SY,WB,NM,
