Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Bassett, Nathan",-,-,-,-,-,-,-,-,-,-,,,,,,1,-,,-,,,,,,,,1.0
"Bickley, Mark",1,1,-,-,-,-,-,-,-,2,1,-,-,2,-,2,-,-,,,,1,-,-,-,-,10.0
"Bond, Troy",,,,,-,,1,1,-,-,-,,5,1,-,-,,,,,,,,,,,8.0
"Caven, Peter",1,-,1,-,-,1,-,-,-,1,-,,,-,-,-,-,2,2,-,-,-,1,-,-,-,9.0
"Connell, Matthew",-,-,2,-,-,-,-,1,-,-,1,,,,,,1,1,-,-,-,-,-,-,1,-,7.0
"Cook, Sudjai",,,,,,,,,-,1,,-,-,1,-,-,,,,,,,,,,,2.0
"Cook, Tim",,,,,,,,,,,,,,,,,,-,-,2,-,,,,,,2.0
"Downsborough, Ian",,,-,,-,,-,,1,2,2,-,-,,,,,,,,,,,,,,5.0
"Eccles, Andrew",,2,-,-,1,2,4,-,-,2,-,1,-,,,,,1,-,-,-,,,,-,-,13.0
"Edwards, Tyson",-,-,,,,,,,,,,,-,1,1,2,-,,1,1,1,-,2,-,2,-,11.0
"Ellen, Shane",-,3,-,-,-,,,,,-,-,,,-,1,-,,,,1,-,-,-,-,2,-,7.0
"Goodwin, Simon",-,-,-,,,,,,1,-,1,-,-,-,-,2,-,-,1,-,2,1,-,-,-,-,8.0
"Hart, Ben",1,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,5.0
"James, Brett",,,,2,-,2,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,2,-,3,2,1,15.0
"Jameson, Rod",,,,,3,-,,6,2,-,2,-,,,,,,-,,,,,,-,,,13.0
"Jarman, Darren",-,1,1,2,1,4,3,-,4,3,,,,2,2,-,8,-,4,-,1,2,1,-,1,5,45.0
"Johnson, Kane",,,-,-,-,-,-,-,,,-,-,,,,,-,,,,,-,,,1,1,2.0
"Keating, Aaron",,,,,,1,-,-,,,,,,,,,,,,,,,,,,,1.0
"Koster, Kym",1,1,1,1,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,7.0
"Liptak, Matthew",,,,,,,,,,,,,,,,,,,-,,,,-,,,,
"Marsh, Ben",,,,,,,,,,,,,,3,-,-,-,,-,1,,,-,-,,-,4.0
"McLeod, Andrew",1,6,-,1,1,-,2,-,,,,,1,-,,,,3,3,-,1,1,-,3,7,-,30.0
"Modra, Tony",,,,,,,,,,,,,,,,2,1,1,2,6,2,4,1,,,,19.0
"Ormond-Allen, Trent",-,-,-,-,,-,-,-,,,,-,-,1,1,-,-,,,-,-,,,,,,2.0
"Perrie, Ian",,,,,,,,,,,,,1,,1,,-,,,,,,,,,,2.0
"Picioane, Lance",1,,,-,,-,1,,,,,,,,,,,,,,,,,,,,2.0
"Pittman, David",-,-,-,-,,,,-,1,2,-,-,1,-,,,-,-,,,-,-,,-,-,1,5.0
"Rehn, Shaun",-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,1,-,-,5.0
"Ricciuto, Mark",1,-,-,-,-,1,-,1,2,,,2,1,3,2,3,-,2,-,1,-,1,-,1,-,1,22.0
"Rintoul, Chad",-,1,2,1,1,2,-,1,,,-,-,,,,,,,,,,,,-,-,,8.0
"Robran, Matthew",,-,,,,,,,1,2,1,3,1,-,-,1,,2,2,2,-,1,-,-,6,-,22.0
"Sampson, Clay",1,6,1,-,1,-,,,1,-,-,-,,,-,-,1,-,,,,,,,,,11.0
"Smart, Nigel",-,1,-,-,1,1,-,-,-,,,1,-,-,-,1,1,1,-,-,1,-,2,-,-,3,13.0
"Stevens, Linden",,,,,,,,,,,,,,,,,,,,,,-,-,,,,
"Stevens, Mark",1,2,-,1,1,,,,,,-,2,-,-,-,-,,-,-,-,1,-,-,-,-,-,8.0
"Thiessen, James",-,-,-,-,1,-,-,-,,-,-,1,-,1,-,1,,-,-,-,2,1,-,-,-,1,8.0
"Tregenza, Simon",-,,,,,,,,-,-,-,-,-,-,-,,-,,,,,,,,,,
"Vardy, Peter",,,,,,1,-,-,-,2,5,3,1,,,,2,4,7,4,2,1,2,6,2,2,44.0
Totals,9,25,8,8,12,15,11,11,14,17,13,15,11,18,9,16,15,19,22,18,13,15,9,14,24,15,376.0
Opponent,CA,FR,SK,PA,GE,NM,WC,RI,BL,ME,WB,ES,CW,SY,HW,CA,FR,SK,PA,GE,NM,WC,ME,SY,WB,NM,
