Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Begley, Josh",,,,,,,,,,,-,,,,,,,
"Bellchambers, Tom",2,1,3,,,,4,-,,2,,-,,,,,,12.0
"Cahill, Ned",,,,,,1,-,-,,,,,,,,,,1.0
"Clarke, Dylan",,,,,,,,,,1,-,2,1,1,1,1,1,8.0
"Cutler, Tom",1,-,,,,,,2,2,-,-,,,,,-,-,5.0
"Daniher, Joe",,,,,,,,,,,,,-,-,,-,-,
"Draper, Sam",,,,,,,,3,6,,2,1,,-,1,2,-,15.0
"Fantasia, Orazio",-,,-,-,1,-,,,,,,,,,,,,1.0
"Francis, Aaron",-,-,-,,,,-,-,1,-,,-,,,,,,1.0
"Gleeson, Martin",,,-,-,-,,-,-,,-,-,1,-,-,-,-,1,2.0
"Guelfi, Matt",-,1,,,,,,,-,1,1,1,-,-,1,-,2,7.0
"Ham, Brayden",,,-,2,-,-,-,1,,,,-,-,,,-,-,3.0
"Heppell, Dyson",,5,,,,,,,,,,,,3,2,,,10.0
"Hibberd, Mitchell",,,,1,1,1,2,,,,,,,,,5,,10.0
"Hooker, Cale",,-,-,-,-,-,,,,,,,-,-,-,,,
"Hurley, Michael",-,-,1,-,-,-,-,1,1,,-,1,,-,-,,-,4.0
"Langford, Kyle",1,2,3,1,-,1,2,,-,1,2,2,3,6,-,2,-,26.0
"Laverde, Jayden",-,,,-,1,-,-,,,,,,,,,,1,2.0
"McDonald-Tipungwuti, Anthony",1,1,1,2,-,-,-,2,2,-,1,1,1,-,-,-,-,12.0
"McGrath, Andrew",3,6,4,5,1,6,8,6,4,6,5,2,10,3,,,,69.0
"McKenna, Conor",,,,,-,-,2,,-,-,1,,,,,,,3.0
"McKernan, Shaun",,-,1,1,2,1,1,,2,-,-,,,,,,,8.0
"Merrett, Zach",4,3,3,,1,4,6,2,3,3,3,5,1,3,6,5,5,57.0
"Mosquito, Irving",,,,,,,,,,,,1,-,1,-,,,2.0
"Mutch, Kobe",,,,,,,,,,,-,,,,,,,
"Parish, Darcy",3,2,1,2,7,3,4,3,4,2,5,9,4,6,4,9,4,72.0
"Phillips, Andrew",,,,6,3,3,,,,,,,6,,,2,,20.0
"Redman, Mason",-,-,-,-,,-,-,-,-,-,,-,1,,1,,-,2.0
"Ridley, Jordan",-,-,-,1,-,-,1,2,1,1,-,-,-,-,1,-,-,7.0
"Saad, Adam",-,2,-,1,1,-,2,-,3,-,-,-,1,-,-,1,-,11.0
"Shiel, Dylan",9,8,4,6,4,,,4,2,6,5,2,5,5,3,5,6,74.0
"Smith, Devon",2,3,1,3,2,3,-,4,3,-,,1,3,-,-,-,-,25.0
"Snelling, Will",-,-,-,4,3,-,2,4,2,3,4,1,2,2,1,1,-,29.0
"Stewart, James",,,,,,,,-,-,-,-,-,2,-,1,-,-,3.0
"Stringer, Jake",1,-,1,2,,,,,,,,-,-,-,-,-,2,6.0
"Townsend, Jacob",-,-,-,-,-,-,-,-,-,,1,,,,-,-,,1.0
"Zaharakis, David",1,-,-,1,1,-,3,-,-,-,,,,,,,,6.0
"Zerk-Thatcher, Brandon",-,,,,,,,-,-,-,-,,-,-,-,-,-,
Totals,28,34,23,38,28,23,37,34,36,26,30,30,40,30,22,33,22,514.0
Opponent,FR,SY,CA,CW,NM,WB,AD,BL,GW,GC,SK,RI,HW,WC,GE,PA,ME,
