Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Begley, Josh",,,,,,,,,,,-,,,,,,,
"Bellchambers, Tom",-,-,-,,,,1,1,,1,,1,,,,,,4.0
"Cahill, Ned",,,,,,-,-,-,,,,,,,,,,
"Clarke, Dylan",,,,,,,,,,1,-,-,-,-,-,-,-,1.0
"Cutler, Tom",-,-,,,,,,-,-,-,-,,,,,-,-,
"Daniher, Joe",,,,,,,,,,,,,3,2,,3,1,9.0
"Draper, Sam",,,,,,,,1,-,,-,2,,-,1,1,-,5.0
"Fantasia, Orazio",-,,-,-,-,-,,,,,,,,,,,,
"Francis, Aaron",-,2,-,,,,-,-,-,-,,-,,,,,,2.0
"Gleeson, Martin",,,-,-,-,,-,1,,1,1,-,-,-,-,-,-,3.0
"Guelfi, Matt",-,1,,,,,,,-,-,1,2,-,-,1,1,1,7.0
"Ham, Brayden",,,-,-,-,1,-,-,,,,-,-,,,-,-,1.0
"Heppell, Dyson",,-,,,,,,,,,,,,-,-,,,
"Hibberd, Mitchell",,,,-,-,-,-,,,,,,,,,-,,
"Hooker, Cale",,1,-,1,1,-,,,,,,,1,1,-,,,5.0
"Hurley, Michael",-,-,1,-,1,-,1,-,2,,-,-,,-,2,,1,8.0
"Langford, Kyle",1,2,-,1,-,-,-,,1,-,-,2,-,1,-,-,-,8.0
"Laverde, Jayden",-,,,1,-,1,1,,,,,,,,,,1,4.0
"McDonald-Tipungwuti, Anthony",-,-,-,1,-,1,-,-,-,-,1,1,1,-,-,-,-,5.0
"McGrath, Andrew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
"McKenna, Conor",,,,,-,-,-,,-,-,-,,,,,,,
"McKernan, Shaun",,1,1,-,1,1,1,,-,3,-,,,,,,,8.0
"Merrett, Zach",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,2,2.0
"Mosquito, Irving",,,,,,,,,,,,-,-,1,-,,,1.0
"Mutch, Kobe",,,,,,,,,,,-,,,,,,,
"Parish, Darcy",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Phillips, Andrew",,,,1,1,2,,,,,,,-,,,-,,4.0
"Redman, Mason",-,-,1,-,,1,2,-,-,-,,-,-,,3,,-,7.0
"Ridley, Jordan",1,2,2,1,3,1,2,-,1,2,-,-,-,-,2,-,1,18.0
"Saad, Adam",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2.0
"Shiel, Dylan",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"Smith, Devon",-,1,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,1.0
"Snelling, Will",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Stewart, James",,,,,,,,1,-,3,-,2,1,-,1,2,3,13.0
"Stringer, Jake",-,2,-,-,,,,,,,,-,-,-,-,-,-,2.0
"Townsend, Jacob",3,-,2,-,1,1,2,1,-,,-,,,,-,1,,11.0
"Zaharakis, David",-,-,-,-,-,-,-,-,-,-,,,,,,,,
"Zerk-Thatcher, Brandon",-,,,,,,,-,-,1,-,,1,-,-,-,-,2.0
Totals,5,13,8,6,8,9,10,5,4,12,3,10,7,5,10,9,11,135.0
Opponent,FR,SY,CA,CW,NM,WB,AD,BL,GW,GC,SK,RI,HW,WC,GE,PA,ME,
