Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,GF.1,Tot
"Armitage, David",1,-,1,-,-,-,,-,,,,,,,,,,,,,-,-,,,,,2.0
"Baker, Steven",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,-,
"Blake, Jason",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2.0
"Clarke, Raphael",,,,1,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,1.0
"Dal Santo, Nick",1,1,2,-,-,-,-,-,-,2,-,2,-,-,-,,-,-,-,-,1,-,1,2,1,-,13.0
"Dawson, Zac",-,-,-,2,-,-,-,-,-,-,,,,-,-,-,-,-,,,,-,-,-,-,-,2.0
"Dempster, Sean",,,,,,,,,,,,,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3.0
"Eddy, Robert",,,,,1,,,,,-,1,-,,,,,,,-,1,,,-,-,-,-,3.0
"Fisher, Sam",,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,1,-,5.0
"Gardiner, Michael",,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,1,-,,2.0
"Geary, Jarryn",1,1,-,-,1,-,-,-,,,-,-,-,-,-,-,,-,-,1,1,-,,,,,5.0
"Gilbert, Sam",-,-,-,-,-,-,-,1,-,-,1,1,-,-,1,-,-,-,-,1,-,-,-,-,1,-,6.0
"Goddard, Brendon",1,1,-,1,2,1,-,1,-,2,-,1,-,3,,-,1,4,1,1,1,-,1,1,-,1,24.0
"Gram, Jason",-,1,1,-,,,-,-,,,,,,,-,-,2,-,1,1,1,1,-,1,-,-,9.0
"Gwilt, James",-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,4.0
"Hayes, Lenny",-,2,-,-,-,-,-,1,2,-,1,-,-,-,-,-,-,-,-,1,,-,-,-,-,-,7.0
"Heyne, Nick",,,,,,,,-,-,,,,,,,,,,,,-,,,,,,
"Jones, Clinton",-,-,-,-,-,-,1,1,-,2,-,-,-,-,-,-,-,,1,1,,-,-,-,-,1,7.0
"King, Steven",-,,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,1.0
"Koschitzke, Justin",1,,,,1,-,-,-,-,-,-,1,-,,,-,-,1,-,-,-,-,-,-,2,-,6.0
"Lynch, Tom",,,,,,,,,,,,,,,,,,-,,,,,,,,,
"McEvoy, Ben",-,1,,,,,,-,-,-,-,-,-,-,-,,-,-,-,-,1,-,1,-,,-,3.0
"McQualter, Andrew",-,2,-,2,-,1,-,-,2,1,1,-,2,-,-,-,1,,1,-,-,1,2,-,-,1,17.0
"Miles, Luke",,,,,,,,,,,,,,,,,,,,,-,-,,,,,
"Milne, Stephen",-,-,-,1,-,-,1,-,-,3,1,-,1,-,1,-,-,1,1,1,1,,2,-,-,-,14.0
"Montagna, Leigh",1,1,-,2,-,1,1,-,-,1,1,-,-,-,1,1,-,1,-,2,-,-,-,1,-,1,15.0
"Pattison, Adam",,1,,,,,,,,,,,,-,-,1,,,,,-,,,,,,2.0
"Peake, Brett",1,-,-,1,-,,,,1,1,-,-,1,-,-,-,-,-,3,1,-,-,-,-,-,-,9.0
"Ray, Farren",1,-,-,-,,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,1,1,-,-,-,-,7.0
"Riewoldt, Nick",1,2,1,,,,,,,,,,,,-,-,1,2,-,1,2,-,1,1,-,1,13.0
"Schneider, Adam",1,-,-,-,-,1,1,1,2,4,2,2,2,1,-,2,2,-,4,1,1,,-,1,2,-,30.0
"Stanley, Rhys",,,,,,,,,2,1,-,-,-,-,,,,,,-,,,,,,,3.0
"Steven, Jack",,,,,,-,-,,,,,,-,2,1,-,1,-,,,,,,,,,4.0
Totals,10,13,8,10,5,5,4,5,10,17,10,8,6,6,6,4,10,10,15,13,11,3,9,9,7,5,219.0
Opponent,SY,NM,CW,FR,PA,WB,CA,ES,WC,AD,RI,FR,GE,ME,BL,CW,HW,ES,PA,NM,RI,AD,GE,WB,CW,CW,
