Player,R1,R2,R3,R4,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Ball, Jason",,,-,,,,,,,,,,,,,,,,,,,,
"Banfield, Drew",,,,,,,,,,,,,,-,1,-,1,-,-,-,,,2.0
"Brennan, Michael",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Clape, Matt",,,4,-,-,3,1,-,-,,-,,,-,-,-,-,-,,-,,,8.0
"Connell, Matthew",1,-,,,,,,,-,,,,,,,,,,,,,,1.0
"Evans, Tony",1,,,-,-,-,-,-,-,-,,-,-,-,1,-,-,1,1,-,-,1,5.0
"Godden, Tony",,,,,,,,,,,,,,,,,,-,-,-,1,-,1.0
"Hall, Derek",,,,,,,,,,,,,,,,1,-,,,,,,1.0
"Hampson, Damian",,,,,,,,,,-,-,-,-,,,,,,,,,,
"Harding, Paul",-,-,1,-,-,1,-,-,,1,-,-,-,-,-,-,-,1,-,-,-,-,4.0
"Hart, David",,,,,,,,,,,,,,,-,-,-,-,1,-,-,-,1.0
"Heady, Brett",2,-,2,1,1,1,-,2,3,-,-,,1,1,,,-,1,-,1,3,-,19.0
"Hynes, David",,1,2,1,-,1,2,-,1,-,1,1,1,1,1,-,-,-,-,1,-,-,14.0
"Irving, Dean",,,,,,,,,-,,,,,,,,,,,,,,
"Jakovich, Glen",2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Kemp, Dean",-,-,1,-,-,-,1,1,,,,-,,,-,-,1,-,-,-,1,-,5.0
"Krummel, Brendan",1,-,,-,,,1,-,-,1,,,,,,,,,,,,,3.0
"Lamb, Dwayne",-,-,-,2,-,-,1,1,-,-,-,-,-,-,,,,,-,,,,4.0
"Langdon, Karl",,,,,,,,,,,-,,,,,,,,,,,,
"Lewis, Chris",-,-,-,,1,1,-,2,1,1,1,-,1,,,,-,,,,3,1,12.0
"Mainwaring, Chris",,,,,,,,,,,1,-,1,-,-,1,-,2,-,1,2,1,9.0
"Matera, Peter",1,3,-,-,1,-,,,2,2,1,-,-,1,3,1,4,1,3,1,-,-,24.0
"McIntosh, Ashley",-,-,-,-,-,2,-,,1,1,2,,,1,-,-,1,-,1,2,-,-,11.0
"McKenna, Guy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,1.0
"Metropolis, Daniel",,-,-,,,,,,,,,,,,,,,,,,,,
"Pyke, Don",-,-,-,-,2,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-,6.0
"Retzlaff, Brendon",,,,,,,,,,,,1,-,,,-,,,,,,,1.0
"Schofield, Jarrad",,,,,,,,,,3,,,,,,,,,,,,,3.0
"Sumich, Peter",8,5,3,5,2,2,,-,-,4,1,1,3,3,4,5,2,-,4,1,2,2,57.0
"Turley, Craig",-,-,,,,,,,,,,,,,,,,,,,,,
"Ugle, Troy",,,,,,,1,1,,,,2,3,,,,,,,,,,7.0
"Waterman, Chris",,,2,-,2,2,1,-,-,1,-,2,1,1,4,-,-,-,-,3,1,-,20.0
"West, Robert",-,-,-,1,-,-,-,-,,,,,,-,-,,,,,,,,1.0
"White, Mitchell",-,1,-,2,1,-,2,-,1,-,-,-,-,1,-,,,-,-,-,1,-,9.0
"Wilson, Peter",-,-,-,-,1,-,3,1,1,1,1,-,-,-,-,-,2,-,-,-,1,-,11.0
"Worsfold, John",-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,,,,-,-,-,2.0
Totals,16,11,15,12,11,14,13,8,11,15,8,8,11,9,16,8,13,6,10,10,16,6,247.0
Opponent,ES,AD,RI,BB,FO,GE,FI,ME,SK,SY,NM,CW,CA,ES,AD,RI,BB,HW,FO,GE,NM,ES,
