Player,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,QF,SF,PF,GF,Tot
"Alessio, Steven",-,1,1,1,-,-,4,2,1,,,-,,-,,,,2,,,,,,,12.0
"Bewick, Darren",-,-,1,-,1,1,3,1,-,2,3,2,2,1,1,2,3,2,-,8,1,2,1,1,38.0
"Calthorpe, David",,,,,,,,,,,,-,1,3,,1,-,1,-,,3,1,2,3,15.0
"Cransberg, Peter",-,2,2,,-,,,,,,,,,,,,,,,,,,,,4.0
"Daniher, Anthony",,-,-,,,,1,1,2,3,-,,,,,,,,,,-,,,,7.0
"Daniher, Chris",-,3,-,3,1,1,,,,3,-,1,1,2,,,,,,,-,2,2,1,20.0
"Delaney, Tony",-,-,,,1,,,,,2,,,,,,,,,,,,,,,3.0
"Denham, Sean",2,4,1,,,2,1,2,2,1,3,5,-,3,4,1,5,4,4,1,1,2,3,6,57.0
"Ezard, Alan",,,,,,1,,,,,,,2,2,,,,,,,1,,,,6.0
"Fletcher, Dustin",,-,,2,,3,2,-,,,1,4,-,3,-,-,3,,2,-,,3,-,1,24.0
"Flood, David",,,,,,,2,,2,,,,,,,,,,,,,-,-,,4.0
"Grenvold, David",1,-,-,-,-,2,-,-,-,1,3,1,1,2,2,2,2,2,-,1,2,1,4,1,28.0
"Harvey, Mark",-,1,2,-,-,-,1,1,1,-,2,1,4,1,3,5,1,-,-,-,1,,,1,25.0
"Hills, Paul",-,2,1,1,-,1,2,3,1,,,3,,-,3,5,-,,3,1,-,1,-,-,27.0
"Hird, James",1,1,1,1,1,-,-,2,1,1,1,,,,2,,,,,1,,-,1,2,16.0
"Kickett, Derek",2,-,1,-,2,2,1,1,-,-,1,1,4,1,-,3,-,2,2,1,1,-,2,,27.0
"Kilpatrick, Glenn",-,,,,,,,,,,,,1,,,,,,,,,,,,1.0
"Long, Michael",2,,,3,,,,2,1,6,4,1,,-,5,1,4,1,1,1,3,2,2,1,40.0
"Manton, Glenn",-,,,,,,,,,,,-,1,,,,1,1,-,-,,,,,3.0
"Mercuri, Mark",2,1,3,2,1,2,1,6,1,3,3,,,,,1,1,2,1,3,4,3,2,2,44.0
"Misiti, Joe",3,-,-,2,-,-,1,3,1,2,-,1,2,3,-,2,1,-,-,-,,-,-,2,23.0
"ODonnell, Gary",-,3,2,6,-,1,3,3,6,1,2,3,3,1,1,3,1,1,2,-,2,2,3,-,49.0
"Olarenshaw, Ricky",,,4,-,,2,-,1,1,,,,,,1,-,1,-,1,1,4,2,1,2,21.0
"Plain, Bradley",,,,1,-,,,,,,1,2,2,-,-,,,,,,,,,,6.0
"Ridley, Todd",1,,,1,2,,,,,,,,,,,,,,,,2,,,,6.0
"Salmon, Paul",,,-,-,1,-,,,-,-,-,-,-,1,-,-,-,-,1,3,1,1,2,1,11.0
"Somerville, Peter",,,-,,,1,-,-,,2,4,,-,-,-,3,1,-,-,-,-,-,-,3,14.0
"Sporn, Kieran",1,1,-,,-,,,,,,,,,,,,,,-,,,,,,2.0
"Symons, Michael",,,,2,1,5,1,1,3,1,3,1,1,5,3,2,1,4,7,2,-,-,,,43.0
"Thompson, Mark",,1,1,2,-,2,1,-,2,2,-,1,1,1,3,1,1,1,-,-,,,3,2,25.0
"Wallis, Dean",,-,,,,,,,,2,,,,,1,-,,1,1,2,,,,1,8.0
"Wanganeen, Gavin",1,2,2,-,2,1,4,4,-,1,-,2,-,,2,2,1,1,,-,-,2,3,-,30.0
"Watson, Tim",,,,,,,1,2,-,-,3,1,-,1,4,1,-,-,,,1,3,5,4,26.0
Totals,16,22,22,27,13,27,29,35,25,33,34,30,26,30,35,35,27,25,25,25,27,27,36,34,665.0
Opponent,WC,CA,CW,SY,FO,GE,SK,AD,FI,HW,ME,RI,BB,NM,WC,CA,CW,SY,FO,GE,CA,WC,AD,CA,
