Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Amos, Mark",,,,,,,,,-,1,-,,,,,,,,1,,,,,,,2.0
"Armstrong, Barry",-,-,1,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,2.0
"Baird, Doug",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Chandler, Neil",1,1,-,1,-,2,1,-,-,-,1,-,-,1,-,-,-,-,,-,-,,-,-,-,8.0
"Crane, Gary",,,,,,,,,,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,2.0
"Crosswell, Brent",5,-,1,2,-,-,-,-,-,1,3,2,1,1,1,1,-,,-,-,1,2,-,3,2,26.0
"Doull, Bruce",1,-,-,-,-,-,,,,,,,,,,,-,-,-,,,,,,,1.0
"Fyffe, Peter",,,,,,,,,,-,-,-,-,-,,,,,,,,,,,,
"Gallagher, Adrian",,,,,,,2,2,3,3,1,1,3,2,2,-,1,3,1,1,-,1,-,-,-,26.0
"Gill, Barry",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,1.0
"Goold, John",,,,,,-,-,-,-,-,-,-,1,-,,,,-,-,,-,-,-,-,-,1.0
"Hall, Kevin",-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,,-,-,-,-,-,-,3.0
"Hopkins, Ted",-,-,-,-,-,-,-,-,-,-,,,-,1,3,1,,-,-,1,,,2,-,1,9.0
"Hurst, Paul",1,1,-,-,-,,,,-,,,,,,,,,,,,,,,,,2.0
"Jackson, Syd",,,1,1,3,2,2,2,2,2,2,-,-,1,1,,,2,-,1,1,-,4,3,2,32.0
"Jesaulenko, Alex",7,2,5,3,1,1,1,4,-,1,4,-,2,3,4,5,4,4,2,2,5,6,-,7,1,74.0
"Jones, Peter",1,-,-,1,-,2,1,,,1,,-,1,-,,-,,,,-,1,2,-,3,-,13.0
"Keogh, Trevor",,,,3,4,,,,,,,,,,,,,,,,,,,,,7.0
"Kerr, Peter",,,,,,,,,,,-,-,,,,,,,,,,,,,,
"Lawson-Smith, Gary",,,,,,,,,,-,-,-,,,,,,,,,,,,,,
"Lofts, Wes",-,-,-,-,-,-,-,-,,,1,2,6,-,-,-,-,-,-,,,-,,,,9.0
"Lukas, Andrew",,,,,,,-,-,,,,,,,,,,,,,,,,,,
"McKay, David",-,-,-,-,-,-,-,2,-,-,-,-,-,1,2,1,1,-,-,1,1,1,-,-,-,10.0
"Mulcair, Barry",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Munari, Dennis",-,-,,,,-,,-,1,-,,2,,,,-,-,,,,,-,,,,3.0
"Nicholls, John",1,-,-,-,-,1,2,1,-,-,1,-,-,-,-,-,1,2,1,-,2,1,-,1,1,15.0
"Nicoll, Ian",-,1,-,1,2,-,-,-,3,,-,,1,,,,1,-,1,,,1,,,,11.0
"OConnell, John",,,-,,,,,,,,,,,,,,,,,,,,,,,
"Pinnell, Phillip",-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,,,,-,2.0
"Quirk, Bryan",,,,,,,,,,,,,,,,,,2,2,-,1,-,-,-,,5.0
"Robertson, Ian",-,,1,2,,-,-,-,-,,,,,,-,1,2,-,2,3,1,,-,-,-,12.0
"Silvagni, Sergio",,,,,,,,,,,,,,,1,1,-,-,-,-,-,1,-,-,-,3.0
"Smith, Peter",,,,,,,,,,,,,,1,-,,-,,,,,,,,,1.0
"Thornley, Bert",,-,,1,1,,,,,,1,1,1,-,3,1,,,,-,-,-,-,1,-,10.0
"Waite, Vin",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,
"Walls, Robert",2,1,1,,2,1,1,-,3,,,,,,3,2,-,2,2,-,-,1,-,2,1,24.0
"Walsh, Brian",-,1,,,,,,,,,,,,,,,,,,,,,,,,1.0
Totals,19,7,10,16,13,9,12,11,12,9,14,9,18,12,20,14,11,15,12,9,13,16,6,20,8,315.0
Opponent,ES,GE,RI,NM,SK,FI,SM,CW,HW,FO,ME,ES,GE,RI,NM,SK,FI,SM,CW,HW,FO,ME,CW,SK,CW,
