Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,SF.1,PF,GF,Tot
"Armstrong, Barry",-,-,-,-,,-,-,1,-,,-,,,,-,-,1,-,-,-,-,,-,-,-,-,2.0
"Austin, Rod",,,,,,-,-,-,,,,-,,,,,,,,,,,,,,,
"Chandler, Neil",,,,,,,,,,,,,,,,,-,-,,,,,,,-,-,
"Crane, Gary",,,,,,,,,,-,-,-,-,-,-,,-,,,-,-,,,,,-,
"Crosswell, Brent",-,4,-,-,1,,,,,1,-,,-,2,4,1,-,-,,,,-,,,,,13.0
"Dickson, David",,,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3.0
"Doull, Bruce",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Fyffe, Peter",,-,-,,,,-,-,-,-,,,,-,,-,,,,,,,,,,,
"Gallagher, Adrian",-,-,-,-,-,-,1,-,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,3.0
"Gill, Barry",,,,,,,-,,-,-,,,,,,,,,,,,,,,,,
"Hall, Kevin",-,,,,,-,,,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,
"Hall, Peter",,,,,,,,,,,,,,,,,,,,-,1,-,,,,,1.0
"Hurst, Paul",-,-,-,1,-,-,-,-,-,-,1,-,-,-,,,,,,-,-,-,-,-,-,1,3.0
"Jackson, Syd",-,-,-,-,-,-,-,-,-,-,,1,-,,-,-,-,-,-,-,-,-,,-,-,-,1.0
"Jesaulenko, Alex",-,-,1,1,-,-,-,1,2,2,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,7.0
"Jones, Peter",-,6,9,8,8,,,10,7,8,6,6,5,14,7,3,11,7,12,11,9,5,7,7,7,17,190.0
"Kennedy, Greg",-,-,,-,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,,
"Keogh, Trevor",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lukas, Andrew",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,
"McKay, David",-,7,2,5,3,2,7,3,8,4,5,13,10,7,7,12,-,6,10,14,4,12,11,8,13,-,173.0
"Nicholls, John",-,11,9,10,12,22,12,7,11,12,12,,7,17,13,8,8,7,8,14,14,7,12,9,7,5,254.0
"OBrien, Paul",,,,,,,,,,,,-,,,,,,,,,,,,,,,
"OConnell, John",-,-,-,-,-,,,,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Pascoe, Eric",,,,,,5,,,,,,,,,,,,,,,,,,,,,5.0
"Pinnell, Phillip",-,-,-,-,-,-,,,,,-,-,1,-,-,1,-,-,-,-,-,-,-,-,,,2.0
"Quirk, Bryan",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,,,,,-,,,,
"Robertson, Ian",-,-,,,,,,,,,-,-,-,-,-,-,,,-,1,-,-,-,-,-,-,1.0
"Southby, Geoff",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Waite, Vin",-,3,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,-,,,,-,-,-,-,3.0
"Walls, Robert",-,-,-,-,1,2,1,-,-,-,-,1,-,-,-,-,-,,2,-,1,-,-,-,-,-,8.0
"Walsh, Brian",,,,,,,-,-,-,-,,-,,,,,,,-,,,,,,,,
"Warburton, Peter",,,,,-,-,,,,,,,,,,,,,,,,,,,,,
"Warden, John",,,,,,,,,-,,,,,,-,,,,,,,,,,,,
Totals,0,31,21,25,25,31,22,22,29,27,24,21,23,40,33,25,20,21,32,40,29,24,30,24,28,23,670.0
Opponent,FI,CW,SM,RI,ES,GE,ME,SK,NM,HW,FO,FI,CW,RI,SM,ES,GE,ME,SK,NM,HW,FO,RI,RI,SK,RI,
