Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Blight, Malcolm",1,3,-,-,-,-,3,-,-,-,-,-,-,1,-,,1,-,,-,,-,-,-,-,-,9.0
"Briedis, Arnold",-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
"Briedis, Robert",,-,,,,,,,,,,,,,,,,,,,,,,,,,
"Burns, John",,,-,-,-,-,-,1,-,-,-,-,-,-,-,1,,1,-,-,-,,-,-,-,-,3.0
"Byrne, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cable, Barry",-,-,-,,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Chisnall, Peter",-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,2.0
"Cowton, Gary",-,1,,,2,,1,4,4,3,-,-,-,-,4,1,1,2,-,-,3,10,-,-,3,-,39.0
"Crosswell, Brent",,,,-,,,,,,,,-,-,1,1,-,-,-,,,-,-,-,-,,-,2.0
"Dawson, Mark",-,,-,,,,-,-,-,-,1,1,-,-,3,-,1,1,-,-,,-,-,-,-,1,8.0
"Dench, David",-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,3.0
"Douglas, John",,,,,,,,,-,-,,,,,,,,,,,,,,,,,
"Feltham, Paul",-,-,-,-,-,-,,,,,-,-,-,-,-,-,1,-,-,-,,-,-,-,-,-,1.0
"Frazer, John",,,,-,,-,-,,,,,,,,,,,,,,,,,,,,
"Gallagher, Adrian",,,,,-,,,,,,,,,,,,,,,,,,,,,,
"Gray, Gary",,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Greig, Keith",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,4.0
"Gumbleton, Frank",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,1,-,-,-,-,-,5.0
"Henshaw, Ross",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,,,-,-,-,
"Icke, Stephen",-,-,,,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,,-,-,-,-,-,
"Keenan, Peter",,22,-,18,11,16,6,,,9,21,21,13,9,,16,15,,6,,12,12,16,5,14,7,249.0
"Kekovich, Sam",1,-,,,,,,,,,-,-,1,,,,,,,,,,-,-,2,,4.0
"Melrose, Graeme",-,-,-,-,-,-,-,-,-,-,,,-,-,,-,-,-,-,-,1,-,-,-,-,-,1.0
"Montgomery, Ken",,,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,-,,,,1.0
"Moore, Terry",16,7,16,18,10,6,3,4,2,5,-,8,2,9,18,8,5,3,3,11,,1,9,,1,2,167.0
"Moylan, John",,-,,,,,,,,,,,,-,-,,,-,,,-,,,,,,
"Munari, Dennis",,,,,,,,,,,,,,,,,-,1,-,-,,,,,,,1.0
"Nettlefold, Bill",,,,2,1,-,-,,,,,,,,-,-,-,-,-,-,1,-,,,,,4.0
"Nolan, Mick",,,,,,12,7,11,23,8,8,,,,,,,9,12,19,,,,24,14,23,170.0
"ODonoghue, Paul",-,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramsay, Roy",,,,,,,,,,,,-,,,,-,-,-,-,-,-,-,-,,,,
"Ryan, Phil",8,,,5,,,,,,,,,-,,,,,,,2,2,-,,,,,17.0
"Schimmelbusch, Wayne",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,
"Seery, Colin",,,-,-,,,,,,,,,,,,,,,,,,,,,,,
"Smith, Rob",1,,-,,,,,-,-,-,-,-,-,-,-,-,,,,,-,,,,,,1.0
"Sutton, Darryl",,,,,,,,,,,,,,,,,,,-,,,-,,-,-,-,
"Tanner, Xavier",,,,,-,-,,-,-,,,-,,,-,-,-,,,,-,,,,,,
"Zantuck, Shane",,,,-,,,,,,-,-,,,,,,,,,,,,,,,,
Totals,29,34,16,44,24,37,20,20,29,26,30,31,16,21,27,27,24,17,21,35,21,24,25,29,34,33,694.0
Opponent,ME,HW,RI,SK,GE,FI,CW,FO,ES,CA,SM,ME,HW,SK,RI,GE,FI,CW,FO,ES,CA,SM,HW,GE,CA,HW,
