Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,PF,GF,Tot
"Adams, Taylor",-,-,-,,,,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,3.0
"Aish, James",-,2,1,-,-,-,,,,,,,,,,,,,,-,-,-,-,1,-,-,4.0
"Appleby, Flynn",,,,,,-,1,-,-,-,1,,-,-,-,,,,,,,,,,,,2.0
"Blair, Jarryd",,,,,,-,-,,,,,,,,,,,,,,,,,,,,
"Broomhead, Tim",,-,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Callum",,-,-,-,-,1,,-,,,,,,,,,,-,-,,,,,,,,1.0
"Cox, Mason",-,,3,-,3,4,2,3,1,2,1,3,3,1,6,,1,2,5,3,3,3,-,1,8,3,61.0
"Crisp, Jack",2,-,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,3,1,-,-,1,-,1,13.0
"Crocker, Ben",-,1,1,-,1,,-,1,,,,,,-,-,1,,,,,,,,,,,5.0
"Daicos, Josh",,,,,,,,,,-,-,-,-,-,1,-,-,-,-,,,,,,,,1.0
"Dunn, Lynden",-,-,-,-,-,-,2,1,-,1,-,-,-,-,,,,,,,,,,,,,4.0
"Fasolo, Alex",,,,,,,,,-,,,,,,,,,,,,,,,,,,
"Goldsack, Tyson",,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,1.0
"Greenwood, Levi",,,,,,,,,,-,1,-,-,,-,1,-,-,1,-,1,-,-,1,1,-,6.0
"Grundy, Brodie",1,1,1,1,3,-,-,1,3,3,-,1,3,-,1,-,2,1,2,1,1,3,-,-,1,2,32.0
"Hoskin-Elliott, Will",-,-,-,-,1,-,-,-,3,-,2,-,2,-,-,-,3,3,-,-,-,-,-,2,-,1,17.0
"Howe, Jeremy",-,3,-,2,1,1,2,-,1,3,,2,2,1,3,2,1,1,,,,,2,2,-,2,31.0
"Langdon, Tom",2,1,1,-,1,,,,1,1,1,2,-,-,-,-,-,1,2,1,-,-,-,1,1,3,19.0
"Madgen, Jack",,,,,,,,,,,,,,,,,,,1,1,-,-,,,,,2.0
"Maynard, Brayden",1,-,1,-,-,-,,,,,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,5.0
"Mayne, Chris",,,,,,-,-,-,-,2,-,-,-,-,-,-,-,1,1,-,1,1,1,-,-,1,8.0
"Mihocek, Brody",,,,,,,,,,,3,1,2,-,1,3,3,-,1,1,1,1,2,-,2,1,22.0
"Moore, Darcy",2,-,,,,,1,-,,,,,,,,-,,1,-,,,,,,,,4.0
"Murphy, Nathan",,,,,,,,,,,,,,,,,,,,,1,-,,,,,1.0
"Murray, Sam",1,1,-,-,-,-,-,-,-,,,,,,,,-,-,-,-,,,,,,,2.0
"Oxley, Adam",,,,,,,,,,,,,,,,,,,,1,-,-,,,,,1.0
"Pendlebury, Scott",-,-,-,1,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Phillips, Tom",-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,5.0
"Reid, Ben",1,,2,-,2,1,,,,1,,,,,,,,,,,,,,,,,7.0
"Scharenberg, Matt",,2,-,-,-,-,2,2,2,1,1,1,1,1,1,-,1,1,,,,,,,,,16.0
"Sidebottom, Steele",-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3.0
"Sier, Brayden",,,,,,,,,,,,,,-,-,-,-,,-,-,-,-,1,-,-,-,1.0
"Smith, Josh",-,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stephenson, Jaidyn",-,-,-,2,-,-,2,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,1,-,1,-,9.0
"Thomas, Josh",-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,4.0
"Treloar, Adam",-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,,,,-,-,-,-,1.0
"Varcoe, Travis",-,-,-,-,-,,-,-,-,-,,,,,,-,1,-,1,-,-,-,-,-,1,-,3.0
"Wells, Daniel",,,,,,,,-,-,,-,-,,,,,,,,,,,,,,,
"de Goey, Jordan",,,,-,1,-,1,1,1,-,1,-,1,1,2,-,1,,,1,2,1,1,-,2,-,17.0
Totals,10,11,13,6,14,9,14,9,13,14,13,12,17,6,15,7,14,14,15,14,13,9,8,9,18,15,312.0
Opponent,HW,GW,CA,AD,ES,RI,BL,GE,SK,WB,FR,ME,CA,GC,ES,WC,NM,RI,SY,BL,PA,FR,WC,GW,RI,WC,
