Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Bone, Michael",,,,,,1,2,3,3,2,9,1,3,2,4,1,4,2,3,1,41.0
"Boyne, Peter",,,1,-,,2,5,-,-,-,-,-,-,-,2,-,2,1,1,1,15.0
"Chapman, Bert",1,-,2,1,4,5,-,-,,,,,,-,,,,,-,-,13.0
"Clark, Len",,,,,,,,,,,,,,,-,-,,-,,,
"Dalton, Denis",-,,,,,,,,,,3,,,,,,,,,,3.0
"Ellis, Vaughan",1,,,,,,,,,,,,,-,,,-,,,-,1.0
"Erwin, Mick",,-,,-,1,,,,,,,,,,,,,,,,1.0
"Farmer, Bob",,,,,,2,2,4,3,2,-,1,1,2,-,,-,-,,,17.0
"Gabelich, Ray",,,3,-,,,,,,,8,5,10,4,4,4,2,1,4,,45.0
"Graham, Ian",-,-,,,,,,,,,,,3,2,1,1,-,1,-,-,8.0
"Gray, Brian",,-,-,,,,,,,,,2,1,3,,1,2,2,-,2,13.0
"Henderson, John",4,-,6,,,,8,2,3,-,2,3,1,2,3,2,-,-,2,1,39.0
"Hill, Laurie",-,3,2,3,5,4,3,2,2,5,,2,-,1,1,2,4,3,4,1,47.0
"Hug, Ernie",2,2,2,2,-,1,3,1,1,1,,,,,-,1,-,-,1,,17.0
"Huppatz, Kevin",,,,,,-,,,,,,,,,,,,,,,
"Hutchesson, Errol",2,3,4,1,3,,,,3,-,,,,,,,,,,,16.0
"Mahon, John",-,-,,-,2,,,,-,,3,,-,,,,,,,-,5.0
"Marshall, Peter",-,-,2,3,3,3,5,3,2,2,,-,,,,,,,,,23.0
"McKenna, Peter",1,2,2,2,1,,,,1,3,2,-,-,,,,,,1,-,15.0
"McLean, Kevin",,,-,,,-,-,1,,,2,1,,,5,1,3,2,1,,16.0
"Montgomery, Ian",,,,,,1,1,-,6,1,-,2,-,2,1,1,1,-,-,1,17.0
"Norman, David",1,1,1,2,3,,3,2,1,2,3,2,-,2,-,-,2,-,-,1,26.0
"Patterson, Peter",,,,-,-,1,1,6,-,-,3,1,,,2,,,,,,14.0
"Potter, Ted",,-,3,-,-,-,-,,,1,,3,1,1,1,1,1,-,1,1,14.0
"Reeves, Ron",1,3,-,1,1,,,,,,,,,,,,,,,,6.0
"Roper, Warren",,,,,4,-,3,6,2,1,,,,,,,,,,,16.0
"Rose, Kevin",2,3,1,6,3,1,6,2,5,4,7,1,3,1,3,7,3,4,5,3,70.0
"Steer, Trevor",-,-,1,1,2,2,2,2,,3,1,1,-,1,,1,3,3,-,,23.0
"Thompson, Len",,,,,,,,,,,,,,,,,,,,5,5.0
"Tuddenham, Des",-,3,8,3,5,4,2,2,2,6,,3,3,2,-,5,3,5,3,9,68.0
"Tully, Colin",,,,,1,-,1,1,2,4,4,2,1,2,-,-,-,-,2,-,20.0
"Turner, Ken",2,1,2,3,2,1,1,-,-,2,3,-,2,4,4,-,2,2,3,-,34.0
"Urquhart, Max",4,-,4,6,3,1,,,,,-,,5,8,2,-,-,,,,33.0
"Wadham, Paul",,,,,,,,-,-,,2,,,,,,,-,,1,3.0
"Waters, Terry",4,3,2,2,3,5,1,1,1,4,2,1,3,1,1,5,,,4,,43.0
"Wright, Duncan",-,,,,,,,,,,6,,,,,,,,,-,6.0
Totals,25,24,46,36,46,34,49,38,37,43,60,31,37,40,34,33,32,26,35,27,733.0
Opponent,SK,RI,HW,GE,CA,ME,SM,FO,ES,NM,FI,SK,RI,HW,GE,CA,ME,SM,SK,ES,
