Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,SF.1,GF,Tot
"Allford, Grant",-,-,-,,,,-,-,,-,,-,-,,,-,-,,,,,,,,,,
"Balme, Neil",,,,-,2,2,6,8,4,2,,,,1,2,4,3,4,3,1,5,1,-,5,3,3,59.0
"Bartlett, Kevin",-,-,1,1,-,-,-,-,-,-,1,,-,,-,,,-,,-,-,-,-,-,-,-,3.0
"Beckwith, Bill",-,-,-,,-,,,,,-,,,,,,,-,,,,,,,,,,
"Bond, Graeme",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bourke, Francis",-,-,-,-,-,,,-,-,-,-,,-,-,-,-,-,-,-,,,-,-,-,-,2,2.0
"Boyanich, Ray",-,3,2,4,-,1,,,,,2,,2,,,1,2,-,2,1,-,1,-,-,-,1,22.0
"Clay, Dick",-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cloke, Peter",-,-,-,-,-,-,,,-,,,-,,,,,,,,-,,-,,,,,
"Cumming, Daryl",-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Dean, Roger",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
"Fowler, Laurie",,,,,,-,-,-,,,1,-,-,-,,,,-,-,-,-,,,,,,1.0
"Gaunt, Graham",,,,,,,,,,,,,,,,,,,,-,,-,,,,,
"Hart, Royce",-,-,-,-,-,1,-,-,-,-,-,,,,1,-,-,-,-,-,-,-,-,1,-,-,3.0
"Hollick, Greg",-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,
"Hunt, Rex",,,,,,,,,,,,,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Hunt, Tony",,,,,,,,,,,,-,,,,,,,,,,,,,,,
"Hywood, Steve",,,,,,,,,,,,,,-,-,-,-,2,-,-,1,-,-,-,-,-,3.0
"Keane, Merv",,,,,,,,,-,-,,,,,,-,,,,,-,,,,,,
"Leech, Eric",-,-,-,-,-,,-,-,-,,,,,,-,,,,,,-,,,,,,
"McKellar, Craig",-,3,17,7,10,8,,17,13,8,8,5,8,26,24,14,35,13,17,28,32,30,-,20,20,13,376.0
"McLean, Ricky",-,-,,,,-,-,-,-,-,,,,-,,,-,-,,-,-,-,-,-,-,-,
"McMillan, Marty",,,-,-,-,-,-,-,-,-,-,-,,-,,,,,-,,-,,,-,-,-,
"Miles, Ian",,,,,,,,,,,-,-,,,,,,,,,,,,,,,
"Moore, Eric",-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Morris, Kevin",,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,,,,,1,1,4.0
"Nalder, Bill",,,,,,,2,,,,4,6,5,,-,,,,,,,,,,,,17.0
"Owen, Ian",,,,,-,-,-,,,,,1,-,,,,,,,,,,,,,,1.0
"Richardson, Barry",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Roberts, Brian",-,19,8,30,12,9,13,2,8,9,17,16,3,7,,,,,,,,,-,-,-,10,163.0
"Sheedy, Kevin",-,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,,,-,-,-,-,-,-,-,1.0
"Smith, Anthony",,,,,,,,,,,,-,,,,,,-,-,,,,,,,,
"Sproule, Paul",,,,-,-,-,-,-,-,-,-,1,-,-,-,-,,,-,-,-,-,-,-,-,-,1.0
"Stewart, Ian",-,-,1,-,,-,,1,-,,1,-,-,-,1,-,-,-,-,,,2,-,-,,2,8.0
"Walsh, Wayne",,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wood, Bryan",,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,-,,,,1.0
Totals,0,25,29,42,24,21,21,28,25,19,34,29,19,34,29,19,40,20,23,31,39,34,0,26,25,32,668.0
Opponent,CW,GE,ES,CA,ME,SK,NM,HW,FI,FO,SM,CW,GE,CA,ES,ME,SK,NM,HW,FI,FO,SM,CW,CA,CA,CA,
