Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,SF.1,GF,Tot
"Allford, Grant",3,2,-,,,,5,1,,2,,2,2,,,4,1,,,,,,,,,,22.0
"Balme, Neil",,,,7,-,1,4,5,4,3,,,,4,2,3,10,4,4,6,2,4,5,1,2,2,73.0
"Bartlett, Kevin",3,3,3,10,6,1,2,3,1,1,1,,2,,1,,,5,,1,2,2,1,-,-,-,48.0
"Beckwith, Bill",-,2,-,,-,,,,,1,,,,,,,-,,,,,,,,,,3.0
"Bond, Graeme",2,1,1,-,,-,3,1,2,7,1,3,2,1,1,1,1,-,3,1,-,-,5,1,2,1,40.0
"Bourke, Francis",3,5,3,6,4,,,4,2,2,4,,3,1,3,2,7,3,2,,,3,8,1,5,2,73.0
"Boyanich, Ray",4,4,1,4,3,3,,,,,2,,4,,,6,3,5,8,4,2,5,2,7,2,3,72.0
"Clay, Dick",5,4,1,4,7,2,1,,,8,3,1,3,-,4,3,3,5,3,-,3,6,1,2,1,-,70.0
"Cloke, Peter",3,4,-,1,4,4,,,-,,,4,,,,,,,,-,,1,,,,,21.0
"Cumming, Daryl",-,-,2,,,,,,,,,2,-,2,-,1,2,-,2,1,-,1,-,-,-,2,15.0
"Dean, Roger",2,2,4,1,4,1,3,1,1,-,6,4,7,-,4,5,3,4,3,,,,,,,,55.0
"Fowler, Laurie",,,,,,4,3,-,,,2,5,2,1,,,,4,4,1,6,,,,,,32.0
"Gaunt, Graham",,,,,,,,,,,,,,,,,,,,-,,-,,,,,
"Hart, Royce",4,7,1,7,4,4,7,7,8,8,4,,,,5,4,8,7,2,1,4,11,8,11,6,4,132.0
"Hollick, Greg",-,,,2,5,2,6,3,-,5,5,3,,,,,,,,,,1,5,4,1,,42.0
"Hunt, Rex",,,,,,,,,,,,,2,3,1,7,4,5,6,12,4,6,4,4,5,3,66.0
"Hunt, Tony",,,,,,,,,,,,1,,,,,,,,,,,,,,,1.0
"Hywood, Steve",,,,,,,,,,,,,,1,2,2,-,3,3,3,2,2,-,1,1,-,20.0
"Keane, Merv",,,,,,,,,1,-,,,,,,-,,,,,-,,,,,,1.0
"Leech, Eric",-,8,1,2,1,,-,2,2,,,,,,-,,,,,,-,,,,,,16.0
"McKellar, Craig",7,3,5,1,3,1,,5,2,2,1,2,2,12,5,12,7,5,8,6,2,9,4,8,5,1,118.0
"McLean, Ricky",3,4,,,,2,4,3,7,1,,,,3,,,9,5,,7,1,6,3,1,9,2,70.0
"McMillan, Marty",,,2,-,1,-,3,-,2,2,-,-,,-,,,,,2,,2,,,1,-,1,16.0
"Miles, Ian",,,,,,,,,,,-,1,,,,,,,,,,,,,,,1.0
"Moore, Eric",6,6,3,-,2,,,,,,,,,,,,,,,,,,,,,,17.0
"Morris, Kevin",,3,3,-,2,1,1,-,3,3,1,5,3,3,1,2,2,2,-,-,,,,,1,1,37.0
"Nalder, Bill",,,,,,,1,,,,-,4,2,,-,,,,,,,,,,,,7.0
"Owen, Ian",,,,,-,3,1,,,,,2,1,,,,,,,,,,,,,,7.0
"Richardson, Barry",5,5,8,2,4,3,4,6,5,8,6,,4,3,5,7,3,5,4,8,6,9,6,8,4,6,134.0
"Roberts, Brian",5,13,2,6,6,15,3,2,6,6,7,8,5,2,,,,,,,,,1,-,-,2,89.0
"Sheedy, Kevin",5,5,4,8,2,4,5,4,3,4,1,,5,2,7,4,7,,,4,1,6,4,2,-,1,88.0
"Smith, Anthony",,,,,,,,,,,,-,,,,,,-,3,,,,,,,,3.0
"Sproule, Paul",,,,1,-,1,-,3,2,1,3,1,1,-,1,3,,,2,1,5,2,2,-,-,2,31.0
"Stewart, Ian",3,6,5,4,,1,,12,1,,7,4,4,5,4,2,2,1,-,,,3,2,3,,-,69.0
"Walsh, Wayne",,,,,,,,,,,,,,3,1,4,1,4,-,3,3,4,2,3,1,1,30.0
"Wood, Bryan",,,,,,,5,3,2,3,1,7,1,2,2,3,3,4,-,1,1,,-,,,,38.0
Totals,63,87,49,66,58,53,61,65,54,67,55,59,55,48,49,75,76,71,59,60,46,81,63,58,45,34,1557.0
Opponent,CW,GE,ES,CA,ME,SK,NM,HW,FI,FO,SM,CW,GE,CA,ES,ME,SK,NM,HW,FI,FO,SM,CW,CA,CA,CA,
