Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R20,R21,R22,EF,Tot
"Allison, Brett",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Archer, Glenn",,1,-,-,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,5.0
"Bardsley, Kristian",,,,,,,,,,,,,,,-,-,,,,,,
"Blakey, John",-,-,-,-,-,-,,,,,-,-,-,-,1,-,-,-,-,-,-,1.0
"Bower, Brendan",-,-,,,,,,,,,,,,,,,,,,,,
"Buckley, Ben",,,,1,-,,-,-,,,,,,,,,-,,,,-,1.0
"Carey, Wayne",4,1,5,-,-,-,-,-,-,3,-,-,-,-,-,,,1,1,3,1,19.0
"Clarkson, Alastair",,,,,,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,,1.0
"Crocker, Darren",-,1,1,-,,,,,,,,1,-,1,-,1,-,-,1,1,2,9.0
"Daniltchenko, Jason",,,-,-,,,,,,,,,,,,,,,,,,
"Dwyer, Anthony",,,,,,,,,-,-,,-,-,,,-,,,,,,
"Eppelstun, Greg",-,,,,,,,,,,,,,,,,,,,,,
"Fairley, Ian",-,-,-,-,2,2,-,1,-,-,3,-,-,,,,,,,,2,10.0
"German, Peter",-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ishchenko, Alex",13,16,15,19,14,9,10,16,12,17,25,15,13,8,23,11,12,18,11,15,17,309.0
"Laidley, Dani",-,-,-,1,-,2,1,-,-,-,-,-,-,,,,1,-,-,-,,5.0
"Larkin, Matthew",-,-,-,-,-,,,,-,-,-,-,-,-,,,-,,,,-,
"Longmire, John",-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,,5.0
"Mann, Peter",,,,,,,,,,,,,7,4,3,5,4,2,2,-,4,31.0
"Martyn, Mick",-,-,-,-,-,-,-,-,2,-,-,,,-,-,1,-,1,-,-,-,4.0
"McAdam, Adrian",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"McKernan, Corey",,,,,,,,,,,,,,,,3,,,,,,3.0
"Pyman, Robert",,,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,
"Roberts, Mark",1,2,1,2,3,6,-,-,2,2,3,1,-,2,1,2,4,-,4,-,2,38.0
"Rock, Anthony",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,-,
"Romero, Jose",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,,-,-,,
"Schwass, Wayne",-,-,-,-,-,-,-,-,-,-,1,,,-,-,-,-,-,-,-,-,1.0
"Sholl, Brad",,,,,,,,,,,,,,,,-,,,,,,
"Sholl, Craig",-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2.0
"Smith, Ross",-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Stevens, Anthony",-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,1,1,-,-,-,1,6.0
Totals,18,21,26,24,21,19,13,18,17,23,32,18,23,15,29,24,22,23,20,19,29,454.0
Opponent,BB,SK,GE,ME,RI,SY,FO,AD,CA,CW,WC,HW,FI,ES,BB,SK,GE,RI,SY,FO,WC,
