Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,QF,SF,PF,GF,Tot
"Aarts, Jake",,,,,-,-,2,1,3,2,2,-,-,1,1,-,2,-,,,,14.0
"Astbury, David",-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,
"Baker, Liam",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Balta, Noah",,,,,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Bolton, Shai",3,1,1,2,,1,-,1,-,1,-,-,1,1,-,-,,-,3,-,-,15.0
"Broad, Nathan",-,-,-,-,-,-,-,-,-,-,-,-,,,-,,,,-,-,-,
"Caddy, Josh",-,,-,-,-,-,-,,,,-,,,,,,2,,,,,2.0
"Castagna, Jason",3,-,2,1,1,-,1,1,2,-,-,-,-,1,-,1,1,1,1,-,1,17.0
"Chol, Mabior",,,,,-,-,2,-,1,-,2,1,1,,,,1,-,,,,8.0
"Cotchin, Trent",-,-,-,-,-,,,,-,-,,-,-,-,-,-,-,1,-,-,-,1.0
"Dow, Thomson",,,,,,,,,,,,,,-,-,,,,,,,
"Edwards, Shane",1,-,1,1,-,,,,,,,,,,,,-,-,2,-,-,5.0
"Eggmolesse-Smith, Derek",,,,,,-,-,-,-,-,-,,,,,,,,,,,
"Graham, Jack",-,-,-,,,-,-,-,,,,-,-,1,1,-,-,-,-,-,-,2.0
"Grimes, Dylan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Higgins, Jack",,1,-,1,1,-,-,-,-,1,,,,,1,,,,,,,5.0
"Houli, Bachar",,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,
"Lambert, Kane",1,-,-,-,3,-,-,-,-,-,1,-,1,-,,-,1,-,-,2,1,10.0
"Lynch, Tom",-,3,1,2,3,1,1,-,2,3,1,2,2,3,3,1,,,2,1,1,32.0
"Markov, Oleg",,,,,,,,,-,,,-,-,-,-,-,,,,,,
"Martin, Dustin",1,-,,-,1,1,2,2,3,-,1,-,1,2,-,-,1,-,1,2,4,22.0
"McIntosh, Kamdyn",,,,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,1,-,1,6.0
"Naish, Patrick",,,,,,,,-,,,,,,,,,,,,,,
"Nankervis, Toby",-,,,1,1,,,,,,,,,1,-,-,-,-,-,-,-,3.0
"Pickett, Marlion",-,-,-,,,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,4.0
"Prestia, Dion",1,-,-,-,-,,,,,,,,,,,,,-,1,-,2,4.0
"Riewoldt, Jack",3,-,-,1,1,1,1,1,1,4,3,2,2,1,1,4,2,2,-,1,2,33.0
"Rioli, Daniel",3,-,-,,1,-,1,-,,,-,-,1,1,-,1,1,2,1,-,-,12.0
"Ross, Jack",,,-,-,,,,,-,-,-,,,,,-,-,,,,,
"Short, Jayden",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Soldo, Ivan",-,-,-,,,-,-,-,-,-,-,1,-,1,-,-,,,,,,2.0
"Stack, Sydney",-,-,-,1,,,,,-,-,1,-,-,,,,,,,,,2.0
"Vlastuin, Nick",-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,-,-,-,-,-,1.0
Totals,16,5,5,10,12,4,11,6,13,12,11,8,10,14,8,7,12,8,12,6,12,202.0
Opponent,CA,CW,HW,SK,ME,SY,NM,GW,WB,BL,PA,GC,ES,WC,FR,GE,AD,BL,SK,PA,GE,
