Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,QF,SF,PF,GF,Tot
"Aarts, Jake",,,,,-,1,3,-,-,1,-,1,-,1,-,2,1,-,,,,10.0
"Astbury, David",-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,
"Baker, Liam",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Balta, Noah",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Bolton, Shai",2,-,1,-,,-,-,1,-,-,-,-,-,1,1,-,,-,1,1,2,10.0
"Broad, Nathan",-,-,-,-,-,-,-,-,-,-,-,-,,,-,,,,-,-,-,
"Caddy, Josh",-,,3,-,-,-,-,,,,-,,,,,,2,,,,,5.0
"Castagna, Jason",-,-,3,-,2,2,1,1,4,2,-,1,-,2,1,2,2,1,1,-,1,26.0
"Chol, Mabior",,,,,-,1,2,-,1,-,2,1,-,,,,1,-,,,,8.0
"Cotchin, Trent",-,-,-,-,-,,,,-,-,,-,-,-,-,1,-,-,-,-,-,1.0
"Dow, Thomson",,,,,,,,,,,,,,-,-,,,,,,,
"Edwards, Shane",-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,
"Eggmolesse-Smith, Derek",,,,,,-,-,-,-,-,-,,,,,,,,,,,
"Graham, Jack",-,-,-,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,
"Grimes, Dylan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Higgins, Jack",,1,-,-,2,-,1,-,3,1,,,,,2,,,,,,,10.0
"Houli, Bachar",,-,-,-,-,,,,,,,,-,-,-,1,-,-,-,-,-,1.0
"Lambert, Kane",1,-,-,-,-,-,-,-,-,-,-,1,1,-,,-,2,-,-,-,1,6.0
"Lynch, Tom",-,2,2,4,3,2,2,-,2,1,-,4,4,2,4,2,,,4,2,1,41.0
"Markov, Oleg",,,,,,,,,-,,,-,-,-,-,-,,,,,,
"Martin, Dustin",1,-,,-,2,1,-,1,1,-,1,-,-,1,-,1,2,-,1,1,-,13.0
"McIntosh, Kamdyn",,,,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,3.0
"Naish, Patrick",,,,,,,,-,,,,,,,,,,,,,,
"Nankervis, Toby",-,,,1,-,,,,,,,,,-,-,-,-,-,-,-,-,1.0
"Pickett, Marlion",1,-,-,,,-,-,1,-,1,-,-,-,-,-,1,-,-,-,1,-,5.0
"Prestia, Dion",-,-,-,-,-,,,,,,,,,,,,,-,-,-,-,
"Riewoldt, Jack",5,1,3,3,2,1,2,1,1,4,1,3,2,1,3,4,3,2,-,-,3,45.0
"Rioli, Daniel",1,-,-,,2,-,-,-,,,-,-,1,-,-,-,1,1,1,-,-,7.0
"Ross, Jack",,,-,-,,,,,-,-,-,,,,,-,-,,,,,
"Short, Jayden",-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Soldo, Ivan",1,-,-,,,-,-,-,-,-,-,1,-,1,-,-,,,,,,3.0
"Stack, Sydney",-,-,-,-,,,,,-,2,1,-,1,,,,,,,,,4.0
"Vlastuin, Nick",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,12,4,12,8,13,8,12,6,12,12,5,14,9,9,11,14,14,5,8,6,8,202.0
Opponent,CA,CW,HW,SK,ME,SY,NM,GW,WB,BL,PA,GC,ES,WC,FR,GE,AD,BL,SK,PA,GE,
