Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,GF,Tot
"Abbott, Paul",-,1,-,1,-,-,-,2,2,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,9.0
"Anderson, Dean",,,,,,,,,,,,,,,,,,-,,-,-,,,,
"Ayres, Gary",1,,,3,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,8.0
"Brereton, Dermott",2,2,-,1,,-,-,2,3,-,,,,,,,-,3,1,2,1,5,1,3,26.0
"Buckenara, Gary",2,,,3,-,2,1,2,-,4,1,-,3,-,-,1,-,-,1,2,2,2,1,1,28.0
"Collins, Andrew",-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,1,,1,-,1,-,-,-,3.0
"Condon, Anthony",,,,,,-,-,,,,,,,,,,,,,,,,,,
"Curran, Peter",-,3,1,-,2,-,-,,,,,,,,2,3,-,1,1,-,,,,,13.0
"Dear, Greg",,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Demetriou, Andrew",,,,,,,,-,-,-,,,,,,,,,,,,,,,
"DiPierdomenico, Robert",1,-,-,-,2,-,-,-,1,2,1,1,1,1,1,-,1,,,,2,-,-,1,15.0
"Dickson, Robert",1,3,-,-,-,1,,,,3,,,,,,,,,,,,,,,8.0
"Dunstall, Jason",4,2,3,3,4,3,4,3,2,-,4,5,1,3,2,,4,4,5,1,4,-,3,2,66.0
"Gowers, Andrew",,,,,,,,-,-,-,,,,,-,1,-,1,-,-,,,,,2.0
"Greene, Russell",1,,,,,,,1,-,-,-,2,1,-,-,-,,,1,3,-,-,-,3,12.0
"Hall, Tony",1,-,-,1,1,-,-,2,-,1,-,1,1,2,-,-,-,1,2,-,-,-,-,1,14.0
"Harding, Paul",-,-,-,-,,,-,,,,,,,,,,,,,,,,,,
"Jencke, Ray",-,-,-,-,-,-,-,-,-,-,,,,,-,-,,,,,,,,,
"Kennedy, John",,,,,,,,,,,,,,,,,,-,-,1,2,1,2,2,8.0
"Langford, Chris",1,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Lawrence, Stephen",,,,,2,-,,,,,,,,,,,,,,,,,,,2.0
"Loveridge, Richard",1,1,-,1,,,2,,,,1,2,-,1,-,1,-,1,-,,,-,,,11.0
"Maginness, Scott",,-,-,-,-,-,,,,,-,-,1,-,,-,-,-,-,-,-,-,-,-,1.0
"Mew, Chris",-,-,-,-,-,1,1,-,-,-,-,-,-,-,,,,,-,,-,-,-,-,2.0
"Morris, Russell",,-,1,,1,,,,,,3,1,-,,,,1,-,,,,,,,7.0
"Morrissey, James",,,,,,,,,,,,,-,2,-,2,1,,,2,-,-,-,1,8.0
"Platten, John",2,-,2,1,-,1,-,-,,,1,3,1,1,-,-,-,-,-,-,2,3,1,-,18.0
"Pritchard, Darrin",-,,,,1,-,-,-,1,-,-,-,-,-,-,-,,-,,,,1,2,1,6.0
"Ralphsmith, Sean",,,,,,,,,,,,,,,,,,,,,-,,,,
"Russo, Peter",,1,,,,,,-,-,-,-,-,,-,,,,,,,,-,,,1.0
"Schwab, Peter",-,-,1,-,1,,-,-,-,-,1,-,-,-,1,1,-,-,-,1,-,,1,-,7.0
"Tuck, Michael",-,1,-,1,-,-,-,1,-,,2,1,-,1,-,-,-,1,1,-,-,,1,-,10.0
"Wittman, Chris",,,2,3,4,1,1,-,3,-,-,2,-,2,-,3,1,2,1,1,,2,-,-,28.0
Totals,17,14,10,18,18,9,9,13,13,10,14,18,9,13,7,12,9,16,14,13,14,16,12,17,315.0
Opponent,CA,RI,SY,FI,NM,CW,ME,WC,FO,SK,ES,BB,GE,FO,BB,SY,ME,ES,FI,GE,SK,NM,CA,ME,
