Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Alves, Stan",-,-,,,,,,,,,,,,,,,,,,,,1,3,2,1,7.0
"Baker, Phil",,2,-,1,-,1,,,,,1,1,-,,,,2,2,2,2,,,-,,-,14.0
"Blight, Malcolm",5,1,2,2,1,4,3,-,1,4,2,,-,2,1,1,-,1,2,1,-,2,2,3,-,40.0
"Boyse, Maurice",,,,,,,,,,,2,2,-,3,1,-,-,-,-,1,-,1,2,2,-,14.0
"Briedis, Arnold",4,3,2,3,1,2,2,1,,,2,,1,,1,,4,1,5,3,5,2,3,2,2,49.0
"Briedis, Robert",,,,,,,2,1,1,1,,1,,,1,1,,,,,,,,,,8.0
"Burnett, Brendan",,,,,5,3,2,2,2,-,,,,,,,,,,,,,,,,14.0
"Burns, John",3,2,2,,2,2,2,3,2,4,2,1,2,2,,2,2,1,2,-,1,,2,-,,39.0
"Byrne, John",8,2,1,1,3,,,,,,,,,,,,,,,,2,3,2,2,4,28.0
"Cassin, John",5,4,1,4,2,1,1,1,1,1,1,,,2,-,,,,,,3,,2,,2,31.0
"Cowton, Gary",2,1,-,2,2,-,3,1,4,3,,2,-,-,,,,,,4,1,1,3,1,3,33.0
"Crosswell, Brent",,,,,,,,,,,,1,2,2,3,1,2,4,-,4,,6,1,,,26.0
"Cumming, Daryl",,,,,,,,,,,,,,2,,,,,,,,,,,,2.0
"Davis, Craig",,,,,,,-,,2,-,,,,,,,,,-,,,1,,,,3.0
"Dawson, Mark",,,,,,,,,-,,,,,,,,,,1,4,-,,,1,,6.0
"Dench, David",6,1,3,,,,,,,,,,,,,,,,,,,,,,,10.0
"Easton, Stephen",,,,,,,,,,,,,,1,2,,1,-,,,1,,,,,5.0
"Glendinning, Ross",3,1,2,3,3,5,2,1,4,1,,5,2,1,5,2,2,3,3,1,3,2,3,3,3,63.0
"Good, Kerry",,,,,,,2,6,,,2,,,,,2,2,5,1,5,,2,,,,27.0
"Greig, Keith",4,6,2,2,1,1,2,3,2,4,3,5,2,1,8,2,2,2,2,3,2,,2,1,2,64.0
"Gumbleton, Frank",4,3,,,,,,,,,,,,,,,,,,,,,,,,7.0
"Henshaw, Ross",3,2,3,-,,2,,,,4,1,2,1,3,3,2,1,2,1,1,,,,3,-,34.0
"Huppatz, Ray",,,,,,1,3,-,3,2,1,4,1,-,,,,,,,,1,,2,2,20.0
"Icke, Stephen",-,,,-,3,,,,,2,1,5,2,2,6,3,1,1,2,3,3,,1,,,35.0
"Jarrott, Alan",,2,-,1,1,1,2,1,3,1,2,-,-,,3,-,-,-,,,,,2,,,19.0
"Keenan, Peter",-,2,2,2,3,1,3,-,-,1,,,2,3,2,-,,,,,3,1,2,,,27.0
"Law, John",,,,,,,,,,,,,,2,1,,,,,,,,,,,3.0
"McCann, Stephen",1,2,4,3,4,2,,1,2,3,2,1,-,7,6,2,,-,3,,1,1,2,3,3,53.0
"Melrose, Graeme",1,3,-,1,,2,2,3,3,2,4,2,-,,5,3,3,3,4,3,1,3,2,1,2,53.0
"Montgomery, Ken",1,1,2,-,2,-,,1,1,,1,1,1,,,,,,,,,,,5,2,18.0
"Moylan, John",,,,1,,,,,,,2,,,,,1,2,,,,,1,,,,7.0
"Nettlefold, Bill",2,,,,1,1,4,1,-,,,3,,,2,1,1,3,2,2,2,,,-,,25.0
"Nolan, Mick",-,2,1,1,1,3,-,2,-,,1,1,,,,2,2,2,1,1,,1,,3,2,26.0
"Payne, Glenn",,,,,,,,,,,,,,-,,,,,,-,,,,,,
"Podolczak, Roger",,,,,,,,,,,,1,,,,,,,,,,,,,,1.0
"Ramsay, Roy",,,,,,,1,,,,,,,,,2,5,2,1,3,1,-,4,,,19.0
"Schimmelbusch, Daryl",,,1,3,3,,,,,,,,,,,,,,,,,,,,,7.0
"Schimmelbusch, Wayne",4,5,1,2,5,4,3,1,,5,2,2,1,4,-,4,3,3,3,1,3,2,-,2,2,62.0
"Smith, Doug",,,,,,,,,,2,2,,2,,,,,,,,4,-,,-,2,12.0
"Sutton, Darryl",,,1,-,,,,3,4,2,1,3,2,1,2,-,2,1,1,2,2,,2,1,2,32.0
"Tanner, Xavier",,,,,,,,,4,1,,,,1,-,,,,,,,2,,,2,10.0
"Williams, Mark",,,,,1,1,2,,,,,,,,,,,,,,,,,,,4.0
Totals,56,45,30,32,44,37,41,32,39,43,35,43,21,39,52,31,37,36,36,44,38,33,40,37,36,957.0
Opponent,FO,RI,HW,SK,CW,GE,FI,ME,CA,ES,SM,FO,RI,SK,HW,CW,GE,FI,ME,CA,ES,SM,HW,CW,HW,
