Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Alves, Stan",7,1,,,,,,,,,,,,,,,,,,,,2,10,5,2,27.0
"Baker, Phil",,6,3,4,6,10,,,,,9,1,3,,,,4,4,5,1,,,3,,8,67.0
"Blight, Malcolm",5,8,8,10,8,3,6,5,2,6,2,,4,4,3,10,7,4,10,5,5,9,3,9,-,136.0
"Boyse, Maurice",,,,,,,,,,,4,2,5,4,2,1,4,4,3,1,6,1,-,6,2,45.0
"Briedis, Arnold",2,7,11,3,2,3,8,-,,,3,,8,,3,,7,2,9,2,5,6,9,5,5,100.0
"Briedis, Robert",,,,,,,3,2,4,1,,1,,,1,-,,,,,,,,,,12.0
"Burnett, Brendan",,,,,2,-,1,-,2,4,,,,,,,,,,,,,,,,9.0
"Burns, John",3,-,1,,5,3,1,-,4,2,2,-,4,8,,2,3,3,2,5,6,,1,-,,55.0
"Byrne, John",5,4,1,3,1,,,,,,,,,,,,,,,,2,4,2,6,1,29.0
"Cassin, John",2,5,3,2,4,2,6,5,6,4,2,,,3,2,,,,,,6,,3,,1,56.0
"Cowton, Gary",1,2,3,2,-,2,4,2,2,2,,1,2,2,,,,,,3,1,2,2,2,2,37.0
"Crosswell, Brent",,,,,,,,,,,,9,3,4,1,3,6,2,3,6,,2,2,,,41.0
"Cumming, Daryl",,,,,,,,,,,,,,1,,,,,,,,,,,,1.0
"Davis, Craig",,,,,,,1,,-,2,,,,,,,,,3,,,4,,,,10.0
"Dawson, Mark",,,,,,,,,6,,,,,,,,,,1,4,-,,,3,,14.0
"Dench, David",1,3,2,,,,,,,,,,,,,,,,,,,,,,,6.0
"Easton, Stephen",,,,,,,,,,,,,,8,4,,3,1,,,2,,,,,18.0
"Glendinning, Ross",7,6,3,1,8,5,6,4,9,6,,3,5,5,4,13,9,10,4,3,5,6,2,6,3,133.0
"Good, Kerry",,,,,,,2,2,,,2,,,,,6,7,6,2,6,,-,,,,33.0
"Greig, Keith",3,3,-,3,3,5,4,4,4,3,2,1,5,2,2,6,8,9,6,1,4,,3,2,3,86.0
"Gumbleton, Frank",2,-,,,,,,,,,,,,,,,,,,,,,,,,2.0
"Henshaw, Ross",2,2,-,2,,-,,,,3,3,5,4,3,4,-,7,2,8,2,,,,5,6,58.0
"Huppatz, Ray",,,,,,1,3,4,3,3,7,3,4,2,,,,,,,,-,,4,5,39.0
"Icke, Stephen",3,,,8,3,,,,,2,2,5,6,2,4,4,7,1,4,6,4,,3,,,64.0
"Jarrott, Alan",,3,3,5,5,10,2,2,6,3,4,2,4,,6,-,3,-,,,,,2,,,60.0
"Keenan, Peter",2,1,10,10,4,9,8,6,6,1,,,10,7,4,1,,,,,13,9,6,,,107.0
"Law, John",,,,,,,,,,,,,,1,2,,,,,,,,,,,3.0
"McCann, Stephen",4,10,7,1,10,2,,4,2,4,2,7,6,6,4,4,,8,3,,5,6,2,4,1,102.0
"Melrose, Graeme",2,4,2,3,,5,3,5,3,6,5,5,5,,5,4,4,8,4,6,8,6,9,6,5,113.0
"Montgomery, Ken",1,1,1,-,4,1,,1,2,,-,-,1,,,,,,,,,,,5,-,17.0
"Moylan, John",,,,1,,,,,,,-,,,,,-,1,,,,,2,,,,4.0
"Nettlefold, Bill",2,,,,-,2,4,2,3,,,1,,,5,5,1,2,1,-,2,,,-,,30.0
"Nolan, Mick",1,4,-,4,3,1,-,2,3,,2,3,,,,7,4,4,5,3,,2,,2,5,55.0
"Payne, Glenn",,,,,,,,,,,,,,1,,,,,,1,,,,,,2.0
"Podolczak, Roger",,,,,,,,,,,,2,,,,,,,,,,,,,,2.0
"Ramsay, Roy",,,,,,,1,,,,,,,,,3,2,1,5,4,4,5,1,,,26.0
"Schimmelbusch, Daryl",,,3,5,-,,,,,,,,,,,,,,,,,,,,,8.0
"Schimmelbusch, Wayne",5,5,7,2,3,5,2,2,,7,6,2,4,6,3,1,2,3,3,5,5,2,6,4,8,98.0
"Smith, Doug",,,,,,,,,,7,4,,1,,,,,,,,8,3,,1,1,25.0
"Sutton, Darryl",,,3,1,,,,4,2,2,4,9,5,5,3,6,7,10,4,4,5,,7,5,4,90.0
"Tanner, Xavier",,,,,,,,,2,3,,,,3,1,,,,,,,1,,,3,13.0
"Williams, Mark",,,,,4,4,3,,,,,,,,,,,,,,,,,,,11.0
Totals,60,75,71,70,75,73,68,56,71,71,65,62,89,77,63,76,96,84,85,68,96,72,76,80,65,1844.0
Opponent,FO,RI,HW,SK,CW,GE,FI,ME,CA,ES,SM,FO,RI,SK,HW,CW,GE,FI,ME,CA,ES,SM,HW,CW,HW,
