Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Bedford, Toby",1,-,-,-,-,-,3,-,,2,5,-,,1,1,1,1,-,,,,,,,15.0
"Bowey, Jake",1,2,2,2,3,3,2,2,3,-,2,1,2,1,2,-,,,,,,-,,,28.0
"Brayshaw, Angus",2,2,5,1,2,2,1,3,3,2,1,2,-,1,2,3,1,4,9,9,6,4,2,4,71.0
"Brown, Ben",1,-,,,,-,3,4,1,1,-,-,1,-,-,3,1,,,2,2,1,1,2,23.0
"Brown, Mitch",,,,,,,,,,,,4,-,,2,,,,,,,,,,6.0
"Chandler, Kade",,,,,,,-,,-,,,,-,,,,,,-,,,,,,
"Dunstan, Luke",,,,,,3,4,,,3,-,,,,,,-,,,,,,,,10.0
"Fritsch, Bayley",2,1,3,1,2,2,2,3,1,2,2,2,3,1,3,1,1,1,2,2,2,4,2,2,47.0
"Gawn, Max",5,-,4,7,5,2,4,1,4,4,6,6,1,,,1,2,3,7,7,5,1,3,3,81.0
"Harmes, James",3,3,1,3,5,4,4,6,3,,,4,4,4,4,2,2,4,,-,-,5,6,3,70.0
"Hibberd, Michael",,,,,,,,,,,,,-,1,3,-,-,2,-,1,1,-,-,1,9.0
"Hunt, Jayden",-,3,2,-,1,3,2,1,3,1,1,-,,-,,-,,,1,-,4,6,3,4,35.0
"Jackson, Luke",1,4,1,-,2,2,,3,2,2,3,1,-,6,,1,1,1,2,3,1,4,1,4,45.0
"Jordon, James",-,2,4,4,2,3,1,3,6,3,3,5,5,4,1,-,7,1,2,2,2,-,,,60.0
"Langdon, Ed",5,3,2,3,3,6,2,6,3,-,,2,3,2,3,4,4,1,2,3,1,-,4,2,64.0
"Lever, Jake",,,,1,-,,1,-,1,2,-,-,1,2,2,2,-,,-,2,1,2,2,-,19.0
"May, Steven",1,-,1,2,-,2,-,-,-,2,-,,,-,1,1,1,-,1,-,1,-,2,3,18.0
"McDonald, Tom",1,-,1,2,1,,-,1,2,-,,,,,,,,,,,,,,,8.0
"Melksham, Jake",,,,,,,5,,,2,1,,,,,,2,1,4,-,5,3,1,1,25.0
"Neal-Bullen, Alex",6,5,2,2,1,2,,3,4,9,4,2,2,6,3,-,4,3,3,5,3,4,5,4,82.0
"Oliver, Clayton",4,4,15,4,4,9,8,1,4,13,6,2,8,3,5,3,,4,1,5,8,3,4,6,124.0
"Petracca, Christian",11,14,6,6,6,7,8,8,4,11,-,5,9,9,6,6,7,1,7,8,2,5,7,3,156.0
"Petty, Harry",,,,,-,-,,-,-,1,1,2,1,1,1,1,,1,-,1,-,-,-,-,10.0
"Pickett, Kysaiah",2,1,2,1,1,2,,1,6,2,5,2,2,-,-,1,3,3,2,2,2,-,-,1,41.0
"Rivers, Trent",,1,3,-,1,2,1,1,1,4,2,,,,,,-,2,3,4,2,2,1,1,31.0
"Salem, Christian",-,,,,,,,,,,,3,1,3,2,2,1,3,1,2,3,,3,2,26.0
"Smith, Joel",-,1,3,,,-,-,,,,,,,,,,,,,,,,-,-,4.0
"Spargo, Charlie",4,5,2,4,8,4,3,2,3,3,1,1,1,3,3,3,5,3,2,3,-,2,2,-,67.0
"Sparrow, Tom",3,2,1,10,3,6,,3,2,5,2,2,2,2,2,2,4,5,6,1,1,1,4,3,72.0
"Tomlinson, Adam",-,-,-,1,,,,,,,,-,,,-,,-,1,,,,,,,2.0
"Turner, Daniel",,,,,,,,,,,,,1,,,,,,,,,,,,1.0
"Viney, Jack",3,2,4,-,4,,2,3,3,,6,5,5,10,3,9,2,4,5,3,6,3,3,6,91.0
"Weideman, Sam",,,1,1,3,-,-,,,,-,,,2,3,,,2,-,,,,,,12.0
Totals,56,55,65,55,57,64,56,55,59,74,51,51,52,62,52,46,49,50,60,65,58,50,56,55,1353.0
Opponent,WB,GC,ES,PA,GW,RI,HW,SK,WC,NM,FR,SY,CW,BL,AD,GE,PA,WB,FR,CW,CA,BL,SY,BL,
