Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,EF,SF,PF,Tot
"Ablett, Gary",,,,,,,,,,,,2,2,1,5,-,6,3,3,3,2,1,-,,,28.0
"Bairstow, Mark",3,1,3,-,-,2,-,4,2,1,6,3,5,2,3,3,2,2,1,-,-,-,-,-,1,44.0
"Bews, Andrew",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2.0
"Bourke, Damian",-,-,-,-,-,2,-,-,-,-,1,-,1,-,,,-,-,,,-,1,,-,-,5.0
"Brown, Paul",,,,,,,,1,-,1,-,,,,-,-,-,1,-,,,,,,,3.0
"Brownless, Bill",1,2,11,-,5,1,4,1,6,6,4,7,3,,,3,4,,4,,3,6,8,2,,81.0
"Bruns, Neville",4,,1,-,1,,,,,,,,,,,,,,,-,1,-,2,2,-,11.0
"Christensen, Martin",-,-,-,-,,,,,,,,,,,,-,,,,,,,,,-,
"Couch, Paul",-,1,3,1,1,,-,-,1,1,-,-,2,-,1,2,1,1,-,3,1,1,1,-,-,21.0
"Darcy, Tim",1,-,,,,1,2,-,-,-,-,-,-,2,3,1,1,5,1,1,1,1,,-,-,20.0
"Denham, Sean",,,,,,,,,,,,,,,,,,,,3,2,1,2,-,,8.0
"Exell, Gavin",2,4,5,5,1,3,1,,,,,,,,,,,,,2,,,,,,23.0
"Flanigan, Darren",,,,,,,,,,,,,,-,-,,,,,,,,,,,
"Fletcher, Adrian",-,-,-,2,-,-,,,,,,,,,,,,,,,,,,,,2.0
"Forssman, Darren",,,,,,,,,,1,-,-,-,2,-,2,-,-,,,,,,,,5.0
"Hinkley, Ken",-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,3.0
"Hocking, Garry",3,-,1,2,2,3,1,1,-,3,-,3,2,3,1,3,5,-,1,1,-,1,2,3,-,41.0
"Hocking, Steve",,,,,,,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,3.0
"Hooper, Stephen",-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,,,-,,-,
"Lamb, Jamie",,,,,-,,,,,,,,,,,,,,,-,1,-,-,-,-,1.0
"Malakellis, Spiro",-,-,-,-,,,1,-,-,,,,,,,,,,-,,,2,-,,,3.0
"Malakellis, Tony",,1,1,1,-,1,,,,,,,,,,,,,,,,,,,,4.0
"Mansfield, Michael",,,,,-,,-,6,-,4,2,-,-,1,1,2,2,2,1,,,,,2,1,24.0
"McCrabb, Austin",-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
"Merriman, Russell",,,,,,,,2,2,4,1,4,-,1,2,2,1,-,-,,,,,,-,19.0
"Neeld, Mark",1,-,-,-,1,-,4,-,2,-,-,-,-,-,,,,-,-,-,1,,-,3,2,14.0
"Poole, Trevor",,,,,,-,,,,,1,-,3,-,-,1,1,-,-,1,-,-,-,-,1,8.0
"Rogers, Andrew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Russell, Dwayne",2,4,2,2,1,-,-,1,-,,,,,,,,,,,,,,,,,12.0
"Schulze, Michael",,,,,,,-,2,-,-,-,-,-,-,-,,,,,,,,,,,2.0
"Scott, Robert",1,-,-,,,,1,-,-,2,,,,,,,,,,,,,,,2,6.0
"Simpson, Sean",-,2,-,-,-,-,,,,-,1,1,1,-,-,1,-,-,-,1,-,-,-,-,,7.0
"Spencer, Trevor",,,,,,,,,,,,,,,,-,-,-,-,-,1,-,-,-,-,1.0
"Sterrett, Ray",,,,-,-,-,1,,,,,,,,,,,,,,,,,,,1.0
"Stoneham, Barry",-,-,-,-,-,1,-,-,-,3,2,-,-,-,2,-,1,-,-,-,-,-,-,1,1,11.0
"Wills, Andrew",,,,,,-,1,-,1,-,1,-,-,-,-,,,,,1,-,1,-,-,-,5.0
Totals,18,15,27,13,13,14,17,18,14,27,20,20,19,13,18,20,24,14,12,17,13,16,15,13,8,418.0
Opponent,SK,FO,BB,CA,WC,SY,NM,CW,FI,AD,HW,ME,RI,ES,SK,FO,BB,CA,WC,SY,NM,CW,SK,HW,WC,
