Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,PF,Tot
"Barker, John",1,2,3,1,5,5,6,-,2,2,,2,,,2,4,1,2,2,2,1,4,6,2,-,55.0
"Barlow, Kris",,,-,,,,,2,-,1,-,-,-,-,2,3,3,-,4,3,1,1,2,1,-,23.0
"Bateman, Chance",,,,,,,,,,-,-,-,-,,,,,,,,,,,,,
"Bowyer, Glen",-,2,-,-,1,-,-,1,1,-,-,,,-,1,2,-,,,,,,,,,8.0
"Chick, Daniel",2,-,1,-,-,-,-,-,-,,,2,-,-,-,3,1,-,,,,2,2,-,1,14.0
"Clarke, Tim",-,2,1,-,1,-,-,1,-,-,-,,-,,,1,-,-,,,,,,,,6.0
"Cox, Adrian",,,,,,,,,,,,,,1,-,-,,-,-,-,,,-,-,1,2.0
"Crawford, Shane",1,1,-,-,-,1,-,1,-,,,2,-,-,-,3,-,-,2,-,,,2,2,-,15.0
"Croad, Trent",3,4,1,1,-,3,9,1,3,-,-,-,1,-,2,1,1,,2,-,-,-,1,1,-,34.0
"Dent, Matthew",,,,,-,-,-,-,-,,,,,,,,,,-,1,-,,,,,1.0
"Dixon, Ben",2,-,-,1,2,1,4,3,4,2,1,3,-,3,-,-,3,1,2,,,1,3,1,2,39.0
"Graham, Mark",1,-,-,1,-,-,-,1,-,-,-,-,-,2,1,-,1,-,-,-,-,2,-,-,-,9.0
"Greene, Steven",,,-,-,,,,,,,,,,,,,1,-,1,-,-,-,1,-,1,4.0
"Harford, Daniel",1,-,-,1,1,-,-,-,1,1,1,-,-,-,-,,,,1,,-,,-,-,-,7.0
"Hay, Jonathan",-,-,-,-,-,-,1,-,,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2.0
"Hazell, Tim",,,,,,,,,,,,,,2,1,-,-,1,,,,,,,,4.0
"Holland, Nick",2,-,,,,-,,,,,,2,1,-,,,,,,,,,-,2,3,10.0
"Johnson, Brett",,,,,-,,,1,-,1,1,-,,-,-,-,-,-,,-,-,,,,,3.0
"Lekkas, Angelo",-,-,1,1,-,,1,1,-,3,-,4,1,2,1,-,-,1,1,-,-,-,-,-,2,19.0
"Lonie, Nathan",,,,,,,,,,,-,,,,,,,,,-,1,1,-,-,-,2.0
"Lord, Aaron",-,1,2,1,3,-,-,3,-,-,-,,3,1,3,-,-,4,-,3,1,-,,,,25.0
"McCabe, Luke",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,,-,-,-,1,-,-,,-,-,3.0
"McPharlin, Luke",1,-,1,1,,,-,-,-,1,,,,,,,,,,,,,,,,4.0
"Nicholls, Bill",,,,,,,,,,,-,1,-,,1,-,,,,,,,1,,,3.0
"OFarrell, Brett",,,,,,,,1,1,-,1,2,-,-,,-,,,,,,-,,,,5.0
"Obst, Chris",,,,,,,,,,,,,,,,,,,,-,-,-,,,,
"Osborne, Michael",,,,,,,,,,,,,,,,,,,,,-,-,,,,
"Picioane, Lance",,1,-,1,-,-,-,,-,-,,-,-,,-,,,,1,-,,,,,,3.0
"Rawlings, Jade",-,-,-,-,3,-,-,,,1,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,7.0
"Rehn, Shaun",-,1,-,-,-,-,1,3,-,,,,,,,,,1,-,,-,-,1,-,-,7.0
"Rock, Anthony",-,,,,,,,,,,-,,,,,,,,,-,1,-,,,,1.0
"Smith, Joel",-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,2.0
"Tallis, Rayden",1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,5.0
"Thompson, Nathan",2,1,4,-,3,4,4,5,3,1,4,1,1,3,1,1,1,2,1,2,1,3,3,3,1,55.0
"Vandenberg, Richard",,,,,-,-,,,,,,,-,-,,-,-,-,-,-,-,-,-,-,-,
"Woods, Tony",-,-,,-,,1,-,,,-,1,1,,,,,-,-,1,-,,,-,-,-,4.0
Totals,17,15,14,11,19,15,26,25,17,13,10,20,7,15,16,18,12,12,18,13,6,15,23,13,11,381.0
Opponent,CW,CA,FR,ME,WB,AD,SK,WC,ES,PA,GE,KA,BL,RI,SY,CW,CA,FR,ME,WB,AD,SK,SY,PA,ES,
